Wall time,Step,Value
1717150691.9859192,320,28.0
1717150693.6089194,640,7.0
1717150695.116763,960,30.0
1717150696.6726172,1280,7.0
1717150698.1494536,1600,7.0
1717150699.6617937,1920,5.0
1717150701.1631315,2240,6.0
1717150702.6591666,2560,6.0
1717150704.141636,2880,7.0
1717150705.6519756,3200,8.0
1717150707.1843336,3520,5.0
1717150711.05215,4110,32.0
1717150712.5134785,4430,64.0
1717150713.9708054,4750,79.0
1717150715.4066327,5070,10.0
1717150716.86296,5390,81.0
1717150718.3006442,5710,100.0
1717150719.739444,6030,52.0
1717150721.1785812,6350,33.0
1717150722.635584,6670,54.0
1717150724.0899112,6990,20.0
1717150725.5232337,7310,100.0
1717150726.980777,7630,79.0
1717150728.4644394,7950,26.0
1717150729.911795,8270,13.0
1717150731.3931282,8590,19.0
1717150732.848467,8910,31.0
1717150734.3433077,9230,100.0
1717150735.8356435,9550,32.0
1717150739.7285628,10070,28.0
1717150741.4684606,10390,30.0
1717150743.2291996,10710,30.0
1717150747.0378897,11250,32.0
1717150748.5822556,11570,26.0
1717150750.1028712,11890,87.0
1717150751.6312222,12210,25.0
1717150753.1715686,12530,39.0
1717150754.732423,12850,16.0
1717150756.2717695,13170,22.0
1717150757.8126204,13490,39.0
1717150759.3499658,13810,32.0
1717150760.9313211,14130,13.0
1717150762.4946733,14450,20.0
1717150764.0514202,14770,17.0
1717150765.6272523,15090,18.0
1717150767.1757348,15410,17.0
1717150768.743087,15730,37.0
1717150770.3084803,16050,27.0
1717150771.8814778,16370,20.0
1717150773.4458303,16690,20.0
1717150775.021185,17010,20.0
1717150776.6185431,17330,14.0
1717150778.213921,17650,29.0
1717150779.7832737,17970,34.0
1717150781.344625,18290,16.0
1717150782.9129775,18610,25.0
1717150784.483331,18930,24.0
1717150786.0711915,19250,15.0
1717150787.642545,19570,27.0
1717150791.3773835,20040,28.0
1717150793.218343,20360,28.0
1717150795.0769112,20680,28.0
1717150796.9144342,21000,28.0
1717150798.7428534,21320,28.0
1717150800.6152742,21640,28.0
1717150802.4391885,21960,28.0
1717150804.2485952,22280,242.0
1717150806.0785103,22600,284.0
1717150807.9044247,22920,284.0
1717150809.7461839,23240,348.0
1717150811.5935993,23560,348.0
1717150813.4503937,23880,348.0
1717150815.2918794,24200,348.0
1717150817.1058285,24520,348.0
1717150818.9549084,24840,348.0
1717150820.7783186,25160,274.0
1717150822.617732,25480,287.0
1717150824.4291391,25800,245.0
1717150826.2890618,26120,289.0
1717150828.1134808,26440,289.0
1717150829.9774036,26760,350.0
1717150831.8282998,27080,350.0
1717150833.6683493,27400,350.0
1717150835.516069,27720,269.0
1717150837.3849363,28040,265.0
1717150839.3018904,28360,209.0
1717150841.2348278,28680,271.0
1717150843.0707614,29000,271.0
1717150844.882193,29320,271.0
1717150846.686599,29640,271.0
1717150848.5215168,29960,236.0
1717150850.3574264,30280,205.0
1717150852.190798,30600,228.0
1717150854.0226543,30920,284.0
1717150855.8620682,31240,235.0
1717150857.701372,31560,177.0
1717150859.5432317,31880,324.0
1717150861.3806446,32200,209.0
1717150863.2015617,32520,243.0
1717150865.029494,32840,292.0
1717150866.8754303,33160,229.0
1717150868.7108428,33480,229.0
1717150870.5807464,33800,208.0
1717150872.407466,34120,208.0
1717150874.2416205,34440,211.0
1717150876.0660307,34760,211.0
1717150877.8828344,35080,211.0
1717150879.727573,35400,174.0
1717150881.5494864,35720,174.0
1717150883.3954058,36040,229.0
1717150885.2453396,36360,251.0
1717150887.0887697,36680,350.0
1717150888.9141953,37000,350.0
1717150890.7484097,37320,184.0
1717150892.6414616,37640,350.0
1717150894.4652624,37960,254.0
1717150896.2939043,38280,254.0
1717150898.1298213,38600,212.0
1717150899.9492402,38920,350.0
1717150901.7981598,39240,261.0
1717150903.6435747,39560,342.0
1717150905.47349,39880,207.0
1717150907.3194551,40200,229.0
1717150909.1623418,40520,208.0
1717150911.0366995,40840,169.0
1717150912.8631291,41160,169.0
1717150914.6972623,41480,261.0
1717150916.5276742,41800,197.0
1717150918.3625894,42120,248.0
1717150920.2220075,42440,233.0
1717150922.0754244,42760,319.0
1717150923.9268548,43080,218.0
1717150925.7737908,43400,218.0
1717150927.6192057,43720,242.0
1717150929.4486158,44040,222.0
1717150931.294569,44360,213.0
1717150933.1245565,44680,229.0
1717150934.964971,45000,219.0
1717150936.791772,45320,208.0
1717150938.6236866,45640,208.0
1717150940.4521058,45960,195.0
1717150942.2875187,46280,193.0
1717150944.1159468,46600,205.0
1717150945.9463587,46920,205.0
1717150947.7829258,47240,233.0
1717150949.633404,47560,229.0
1717150951.469823,47880,229.0
1717150953.31171,48200,227.0
1717150955.1501663,48520,197.0
1717150956.989801,48840,286.0
1717150958.8322155,49160,257.0
1717150960.6756299,49480,342.0
1717150962.5125475,49800,245.0
1717150964.3519778,50120,194.0
1717150966.1833887,50440,194.0
1717150968.0288038,50760,210.0
1717150969.8472128,51080,210.0
1717150971.6761427,51400,199.0
1717150973.517557,51720,319.0
1717150975.3755164,52040,222.0
1717150977.2293403,52360,222.0
1717150979.0787563,52680,316.0
1717150980.9299035,53000,214.0
1717150982.776319,53320,214.0
1717150984.5897267,53640,214.0
1717150986.409639,53960,243.0
1717150988.2750747,54280,234.0
1717150990.1064868,54600,234.0
1717150991.938911,54920,234.0
1717150993.7808287,55240,246.0
