Wall time,Step,Value
1717598083.3662639,320,15.0
1717598084.8776033,640,11.0
1717598086.4189632,960,9.0
1717598087.9633105,1280,13.0
1717598091.3375726,1760,29.0
1717598092.8679245,2080,43.0
1717598094.3428361,2400,19.0
1717598095.828736,2720,27.0
1717598097.342224,3040,20.0
1717598098.8271258,3360,35.0
1717598100.335968,3680,23.0
1717598101.8538268,4000,15.0
1717598105.137573,4390,28.0
1717598106.9119806,4710,30.0
1717598108.706143,5030,30.0
1717598112.56085,5570,21.0
1717598114.117942,5890,60.0
1717598115.6788032,6210,91.0
1717598117.2366574,6530,100.0
1717598118.795008,6850,45.0
1717598120.3503659,7170,20.0
1717598121.9342935,7490,30.0
1717598123.5145628,7810,31.0
1717598125.1188624,8130,14.0
1717598126.7022178,8450,25.0
1717598128.2848933,8770,34.0
1717598129.8918133,9090,14.0
1717598131.5011754,9410,26.0
1717598133.0970397,9730,19.0
1717598134.7309127,10050,24.0
1717598136.3247871,10370,35.0
1717598137.9391503,10690,31.0
1717598139.5075164,11010,19.0
1717598141.0978737,11330,20.0
1717598144.6499515,11750,16.0
1717598146.5620825,12070,16.0
1717598148.484528,12390,16.0
1717598150.3807216,12710,16.0
1717598152.2941697,13030,16.0
1717598154.1680946,13350,16.0
1717598156.0360184,13670,16.0
1717598157.9079435,13990,251.0
1717598159.78287,14310,270.0
1717598161.668522,14630,308.0
1717598163.577225,14950,348.0
1717598165.5037308,15270,348.0
1717598167.4491806,15590,348.0
1717598169.3543127,15910,348.0
1717598171.2582443,16230,348.0
1717598173.1571867,16550,236.0
1717598175.0556135,16870,236.0
1717598176.9405415,17190,287.0
1717598178.8274698,17510,230.0
1717598180.745901,17830,323.0
1717598182.6632762,18150,323.0
1717598184.5847137,18470,350.0
1717598186.4736495,18790,350.0
1717598188.3650746,19110,216.0
1717598190.262501,19430,222.0
1717598192.1598012,19750,212.0
1717598194.1172547,20070,212.0
1717598196.029188,20390,249.0
1717598197.9441218,20710,201.0
1717598199.8255575,21030,201.0
1717598201.7199972,21350,292.0
1717598203.6084218,21670,292.0
1717598205.484844,21990,254.0
1717598207.3862553,22310,216.0
1717598209.301045,22630,236.0
1717598211.2164376,22950,236.0
1717598213.1271973,23270,255.0
1717598215.02506,23590,227.0
1717598216.9190042,23910,227.0
1717598218.826939,24230,219.0
1717598220.7413695,24550,342.0
1717598222.6467984,24870,244.0
1717598224.6097445,25190,273.0
1717598226.5551524,25510,273.0
1717598228.4887953,25830,271.0
1717598230.3972557,26150,271.0
1717598232.2950354,26470,289.0
1717598234.2032669,26790,263.0
1717598236.0966952,27110,251.0
1717598238.0021374,27430,241.0
1717598239.9235845,27750,269.0
1717598241.853523,28070,229.0
1717598243.7559652,28390,229.0
1717598245.6663947,28710,229.0
1717598247.651173,29030,229.0
1717598249.539622,29350,229.0
1717598251.443949,29670,201.0
1717598253.3491004,29990,250.0
1717598255.2550478,30310,276.0
1717598257.1735423,30630,276.0
1717598259.085477,30950,279.0
1717598261.0194325,31270,231.0
1717598265.367915,31700,231.0
1717598267.8890734,32020,231.0
1717598270.4011402,32340,231.0
1717598273.00953,32660,231.0
1717598275.5741067,32980,231.0
1717598278.1502075,33300,189.0
1717598280.7342935,33620,216.0
1717598283.3129246,33940,247.0
1717598285.957105,34260,247.0
1717598288.5737817,34580,247.0
1717598291.1961331,34900,346.0
1717598293.7877295,35220,346.0
1717598296.3198173,35540,222.0
1717598298.8398883,35860,219.0
1717598301.3679626,36180,219.0
1717598303.8949564,36500,219.0
1717598306.421884,36820,197.0
1717598308.9562528,37140,175.0
1717598311.4632995,37460,191.0
1717598313.963882,37780,188.0
1717598316.5109572,38100,232.0
1717598319.0515287,38420,232.0
1717598321.5921,38740,232.0
1717598324.182186,39060,232.0
1717598326.690765,39380,238.0
1717598329.2630186,39700,249.0
1717598331.913969,40020,228.0
1717598338.0317905,41080,228.0
1717598342.2722476,42040,63.0
1717598346.4035947,43000,93.0
1717598350.4642313,43960,128.0
1717598354.631673,44920,148.0
1717598358.8986413,45880,148.0
1717598363.1636138,46840,113.0
1717598367.4430742,47800,113.0
1717598371.6488209,48760,132.0
1717598375.9222865,49720,150.0
1717598380.1447554,50680,150.0
1717598384.2957706,51640,85.0
1717598388.5246875,52600,135.0
1717598392.8106697,53560,150.0
1717598397.0526319,54520,64.0
1717598401.2514122,55480,96.0
1717598405.5259995,56440,138.0
1717598409.6419377,57400,124.0
1717598413.925419,58360,122.0
1717598418.1553702,59320,71.0
1717598422.3353608,60280,106.0
1717598426.5117805,61240,121.0
1717598430.7297556,62200,150.0
1717598435.0602348,63160,145.0
1717598439.3401973,64120,107.0
1717598443.5416949,65080,118.0
1717598447.8730514,66040,102.0
1717598452.138042,67000,73.0
1717598456.3130035,67960,138.0
1717598460.6534944,68920,119.0
1717598464.964526,69880,72.0
1717598469.1502857,70840,104.0
1717598473.3877597,71800,124.0
1717598477.6512227,72760,88.0
1717598481.960654,73720,91.0
1717598486.1368787,74680,54.0
1717598490.2978787,75640,103.0
1717598494.5573516,76600,50.0
