Wall time,Step,Value
1717668635.6222126,320,28.0
1717668636.9845183,640,6.0
1717668638.378336,960,30.0
1717668639.8076096,1280,6.0
1717668641.2214024,1600,30.0
1717668642.6429608,1920,9.0
1717668644.053291,2240,10.0
1717668645.4837031,2560,8.0
1717668646.926799,2880,6.0
1717668648.3579917,3200,6.0
1717668649.807616,3520,13.0
1717668651.2559621,3840,10.0
1717668655.1373725,4460,23.0
1717668656.4986784,4780,56.0
1717668657.861985,5100,56.0
1717668659.2282927,5420,100.0
1717668660.609603,5740,100.0
1717668662.0034597,6060,57.0
1717668663.401117,6380,26.0
1717668664.7721434,6700,14.0
1717668666.1629598,7020,67.0
1717668667.576782,7340,60.0
1717668668.9471705,7660,100.0
1717668670.336532,7980,100.0
1717668671.7268567,8300,55.0
1717668673.1061668,8620,29.0
1717668674.5069854,8940,15.0
1717668675.9043,9260,100.0
1717668677.3101199,9580,25.0
1717668678.702433,9900,22.0
1717668680.1157513,10220,31.0
1717668683.635542,10690,28.0
1717668685.323829,11010,30.0
1717668687.0230336,11330,30.0
1717668690.7477221,11870,32.0
1717668692.2140062,12190,21.0
1717668693.6752791,12510,93.0
1717668695.1466415,12830,1.0
1717668696.6229882,13150,79.0
1717668698.0903177,13470,20.0
1717668699.5441504,13790,100.0
1717668701.0209877,14110,22.0
1717668702.5068264,14430,24.0
1717668703.9746633,14750,100.0
1717668705.4300332,15070,29.0
1717668706.902227,15390,44.0
1717668708.3825636,15710,59.0
1717668709.8359063,16030,29.0
1717668711.352274,16350,15.0
1717668712.848039,16670,14.0
1717668714.328886,16990,32.0
1717668715.8337276,17310,13.0
1717668717.3380654,17630,46.0
1717668718.8284252,17950,22.0
1717668720.3112626,18270,63.0
1717668721.8021042,18590,17.0
1717668723.3024411,18910,15.0
1717668724.77281,19230,18.0
1717668726.2803974,19550,14.0
1717668727.8407934,19870,34.0
1717668729.3631914,20190,17.0
1717668730.9015546,20510,15.0
1717668732.4000776,20830,24.0
1717668733.920438,21150,15.0
1717668735.4318206,21470,12.0
1717668736.9621806,21790,29.0
