Wall time,Step,Value
1718011811.6354806,320,28.0
1718011812.8581722,640,5.0
1718011814.0979598,960,30.0
1718011815.3452435,1280,30.0
1718011816.6040356,1600,30.0
1718011817.870904,1920,11.0
1718011819.1206303,2240,19.0
1718011820.403067,2560,7.0
1718011821.6794186,2880,30.0
1718011822.9552228,3200,27.0
1718011824.2575262,3520,8.0
1718011825.5618207,3840,6.0
1718011826.8719053,4160,6.0
1718011828.152071,4480,15.0
1718011831.7458804,5110,14.0
1718011832.9781618,5430,58.0
1718011834.1845636,5750,30.0
1718011835.422141,6070,18.0
1718011836.6439283,6390,88.0
1718011837.8762066,6710,37.0
1718011839.102884,7030,26.0
1718011840.3436258,7350,40.0
1718011841.5881364,7670,100.0
1718011842.8076532,7990,100.0
1718011844.0511937,8310,100.0
1718011845.2819805,8630,100.0
1718011846.532264,8950,53.0
1718011847.8085525,9270,100.0
1718011849.0750208,9590,70.0
1718011850.324738,9910,100.0
1718011851.5929952,10230,17.0
1718011852.8310745,10550,53.0
1718011854.096375,10870,50.0
1718011855.3466578,11190,39.0
1718011858.866103,11760,28.0
1718011860.2969162,12080,30.0
1718011861.7310693,12400,30.0
1718011865.0943692,12940,31.0
1718011866.369674,13260,28.0
1718011867.6574686,13580,22.0
1718011868.933757,13900,64.0
1718011870.2400901,14220,60.0
1718011871.5369592,14540,100.0
1718011872.8332524,14860,26.0
1718011874.114134,15180,22.0
1718011875.41443,15500,23.0
1718011876.7327263,15820,48.0
1718011878.0372045,16140,84.0
1718011879.318002,16460,26.0
1718011880.626646,16780,19.0
1718011881.941961,17100,41.0
1718011883.227836,17420,26.0
1718011884.5621588,17740,18.0
1718011885.8682141,18060,37.0
1718011887.1745543,18380,38.0
1718011888.4675767,18700,25.0
1718011889.7888763,19020,20.0
1718011891.0757632,19340,24.0
1718011892.3905287,19660,29.0
1718011893.722586,19980,26.0
1718011895.0192993,20300,15.0
1718011896.3378913,20620,34.0
1718011897.6739595,20940,29.0
1718011898.9997647,21260,26.0
