Wall time,Step,Value
1718015841.142655,320,15.0
1718015842.3829367,640,5.0
1718015843.6422203,960,5.0
1718015844.9165094,1280,14.0
1718015846.1515188,1600,30.0
1718015847.4239612,1920,14.0
1718015848.700583,2240,7.0
1718015849.981484,2560,7.0
1718015851.2517784,2880,30.0
1718015852.5197887,3200,12.0
1718015853.7680721,3520,30.0
1718015855.008166,3840,7.0
1718015856.3135529,4160,7.0
1718015857.5929763,4480,8.0
1718015858.8964543,4800,6.0
1718015860.2113667,5120,9.0
1718015861.531815,5440,7.0
1718015863.9133713,5770,32.0
1718015865.1528957,6090,15.0
1718015866.388719,6410,52.0
1718015867.606048,6730,100.0
1718015868.8103364,7050,100.0
1718015870.018609,7370,18.0
1718015871.22689,7690,100.0
1718015872.4436085,8010,100.0
1718015873.666888,8330,18.0
1718015874.877745,8650,100.0
1718015876.0940206,8970,100.0
1718015877.3277795,9290,100.0
1718015878.5706735,9610,43.0
1718015879.807539,9930,18.0
1718015881.0857646,10250,55.0
1718015882.334469,10570,40.0
1718015883.5717628,10890,13.0
1718015884.7982762,11210,32.0
1718015888.437494,11820,28.0
1718015889.862816,12140,30.0
1718015891.2899885,12460,30.0
1718015894.6215627,13000,31.0
1718015895.8888495,13320,32.0
1718015897.1701388,13640,18.0
1718015898.4475632,13960,31.0
1718015899.7303643,14280,30.0
1718015901.0127544,14600,14.0
1718015902.3010454,14920,16.0
1718015903.6067007,15240,33.0
1718015904.9114864,15560,19.0
1718015906.2037792,15880,38.0
1718015907.5275235,16200,17.0
1718015908.8318188,16520,40.0
1718015910.1271117,16840,22.0
1718015911.4099338,17160,22.0
1718015912.7047236,17480,20.0
1718015914.0120316,17800,28.0
1718015915.3027678,18120,18.0
1718015916.5986497,18440,16.0
1718015917.9337058,18760,34.0
1718015919.2903144,19080,19.0
1718015920.5879915,19400,24.0
1718015921.8782246,19720,12.0
1718015923.1798694,20040,20.0
1718015924.490655,20360,17.0
1718015925.7915025,20680,32.0
1718015927.1088002,21000,29.0
1718015928.430919,21320,28.0
1718015929.750023,21640,23.0
1718015931.0822337,21960,23.0
1718015932.3995314,22280,15.0
1718015935.7397382,22770,17.0
1718015937.2466662,23090,17.0
1718015938.7348208,23410,17.0
1718015940.243837,23730,17.0
1718015941.7456884,24050,17.0
1718015943.2325668,24370,17.0
1718015944.7230232,24690,17.0
1718015946.1927068,25010,247.0
1718015947.6800442,25330,269.0
1718015949.171986,25650,269.0
1718015950.6993613,25970,348.0
1718015952.224625,26290,348.0
1718015953.7629888,26610,348.0
1718015955.2623281,26930,348.0
1718015956.740999,27250,348.0
1718015958.2553792,27570,348.0
1718015959.7266252,27890,269.0
1718015961.189044,28210,269.0
1718015962.7247417,28530,260.0
1718015964.230817,28850,270.0
1718015965.7386477,29170,309.0
1718015967.248363,29490,350.0
1718015968.7709043,29810,350.0
1718015970.2746274,30130,350.0
1718015971.7734723,30450,238.0
1718015973.2809534,30770,235.0
1718015974.7897694,31090,235.0
1718015976.2968445,31410,278.0
1718015977.7987914,31730,296.0
1718015979.3001513,32050,234.0
1718015980.779705,32370,350.0
1718015982.2758465,32690,234.0
1718015983.767755,33010,235.0
1718015985.2826133,33330,235.0
1718015986.7834566,33650,235.0
1718015988.2817955,33970,235.0
1718015989.762151,34290,350.0
1718015991.2520173,34610,350.0
1718015992.7775304,34930,234.0
1718015994.2999074,35250,245.0
1718015995.8406684,35570,350.0
1718015997.3450265,35890,350.0
1718015998.8583922,36210,350.0
1718016000.3748078,36530,350.0
1718016001.8757014,36850,350.0
1718016003.3836112,37170,269.0
1718016004.883691,37490,231.0
1718016006.398539,37810,350.0
1718016007.9126904,38130,301.0
1718016009.4318035,38450,350.0
1718016010.9551477,38770,350.0
1718016012.459613,39090,350.0
1718016014.0239823,39410,350.0
1718016015.4993536,39730,350.0
1718016017.0029042,40050,279.0
1718016018.5108068,40370,279.0
1718016020.015657,40690,294.0
1718016021.5177531,41010,285.0
1718016023.0226228,41330,282.0
1718016024.533633,41650,239.0
1718016026.050978,41970,267.0
1718016027.5463288,42290,267.0
