Wall time,Step,Value
1718010971.3866465,320,8.0
1718010972.6569436,640,30.0
1718010973.9452074,960,6.0
1718010975.224335,1280,30.0
1718010976.530142,1600,30.0
1718010977.8213518,1920,21.0
1718010979.1136642,2240,6.0
1718010980.4002585,2560,7.0
1718010981.7312438,2880,30.0
1718010983.02355,3200,30.0
1718010984.3352492,3520,6.0
1718010985.6694434,3840,6.0
1718010987.0612628,4160,8.0
1718010988.3935766,4480,19.0
1718010989.730589,4800,9.0
1718010991.1305094,5120,7.0
1718010992.4904628,5440,5.0
1718010995.5501807,5920,30.0
1718010996.8544755,6240,55.0
1718010998.114815,6560,37.0
1718010999.3893952,6880,98.0
1718011000.6435244,7200,100.0
1718011001.896807,7520,100.0
1718011003.1542926,7840,62.0
1718011004.417491,8160,54.0
1718011005.6662807,8480,100.0
1718011006.935568,8800,100.0
1718011008.2022705,9120,39.0
1718011009.4982686,9440,65.0
1718011010.7735558,9760,30.0
1718011012.0988991,10080,13.0
1718011013.4207077,10400,100.0
1718011014.740444,10720,20.0
1718011016.0401819,11040,26.0
1718011017.353922,11360,19.0
1718011020.2944336,11750,28.0
1718011021.792289,12070,30.0
1718011023.2973778,12390,30.0
1718011026.7863271,12930,28.0
1718011028.1786423,13250,19.0
1718011029.5214646,13570,27.0
1718011030.872285,13890,15.0
1718011032.2576377,14210,19.0
1718011033.6046495,14530,17.0
1718011034.959824,14850,23.0
1718011036.3216414,15170,100.0
1718011037.6847057,15490,21.0
1718011039.0567749,15810,34.0
1718011040.4522536,16130,83.0
1718011041.825343,16450,16.0
1718011043.181253,16770,33.0
1718011044.5675673,17090,31.0
1718011045.948389,17410,33.0
1718011047.3292084,17730,21.0
1718011048.735421,18050,33.0
1718011050.1244037,18370,32.0
1718011051.485712,18690,30.0
1718011052.887588,19010,48.0
1718011054.2644362,19330,28.0
1718011055.629745,19650,15.0
1718011057.0135646,19970,19.0
1718011058.4042263,20290,23.0
1718011059.7802742,20610,36.0
1718011061.190606,20930,14.0
1718011062.5905514,21250,32.0
1718011064.0073814,21570,21.0
1718011065.3924205,21890,19.0
1718011066.7657309,22210,23.0
1718011068.1045632,22530,26.0
1718011069.47163,22850,21.0
1718011070.8564584,23170,23.0
1718011072.2332897,23490,15.0
1718011073.603382,23810,21.0
1718011077.1563575,24310,19.0
1718011078.787734,24630,19.0
1718011080.3746157,24950,19.0
1718011081.9825115,25270,19.0
1718011083.548374,25590,19.0
1718011085.1482472,25910,19.0
1718011086.7515056,26230,19.0
1718011088.3254275,26550,19.0
1718011089.9388556,26870,272.0
1718011091.5903652,27190,308.0
1718011093.1382227,27510,348.0
1718011094.710795,27830,348.0
1718011096.3106647,28150,348.0
1718011097.9295382,28470,348.0
1718011099.5266674,28790,348.0
1718011101.112533,29110,348.0
1718011102.6856499,29430,348.0
1718011104.2284522,29750,301.0
1718011105.8103163,30070,288.0
1718011107.4154246,30390,282.0
1718011109.0413284,30710,323.0
1718011110.655694,31030,323.0
1718011112.2775698,31350,323.0
1718011113.883442,31670,323.0
1718011115.4437947,31990,323.0
1718011117.0306728,32310,252.0
1718011118.626637,32630,289.0
1718011120.2333717,32950,258.0
1718011121.8237321,33270,256.0
1718011123.38865,33590,330.0
1718011124.9703734,33910,308.0
1718011126.554732,34230,198.0
1718011128.1606166,34550,204.0
1718011129.756286,34870,204.0
1718011131.388742,35190,227.0
1718011132.9789708,35510,222.0
1718011134.5746794,35830,350.0
1718011136.1645467,36150,222.0
1718011137.753388,36470,260.0
1718011139.3337443,36790,260.0
1718011140.951403,37110,282.0
1718011142.599541,37430,194.0
1718011144.1940212,37750,224.0
1718011145.7794037,38070,269.0
1718011147.357761,38390,301.0
1718011149.001724,38710,247.0
1718011150.5857244,39030,247.0
1718011152.3907497,39350,235.0
1718011154.009641,39670,243.0
1718011155.602519,39990,217.0
1718011157.2306063,40310,297.0
1718011158.8089645,40630,236.0
1718011160.3808663,40950,278.0
1718011161.968731,41270,240.0
1718011163.573772,41590,221.0
1718011165.1711495,41910,223.0
1718011166.7683506,42230,250.0
1718011168.375771,42550,200.0
1718011169.961763,42870,200.0
1718011171.5689037,43190,202.0
1718011173.1683402,43510,202.0
1718011174.7564898,43830,202.0
1718011176.3653634,44150,215.0
1718011177.9734507,44470,249.0
1718011179.5806453,44790,256.0
1718011181.1535585,45110,266.0
1718011182.757649,45430,189.0
1718011184.3725238,45750,310.0
1718011185.9633944,46070,310.0
1718011187.5857606,46390,310.0
1718011189.197498,46710,190.0
1718011190.794392,47030,185.0
1718011192.3777704,47350,220.0
1718011194.0086334,47670,207.0
1718011195.6195054,47990,229.0
1718011197.2447395,48310,229.0
1718011198.8413143,48630,229.0
1718011200.4406798,48950,191.0
1718011202.0465715,49270,197.0
1718011203.6273675,49590,197.0
1718011205.2156882,49910,198.0
1718011206.8440502,50230,270.0
1718011208.4803517,50550,239.0
1718011210.0707223,50870,239.0
1718011211.6946,51190,208.0
1718011213.3214788,51510,208.0
1718011214.929366,51830,258.0
1718011216.5123222,52150,183.0
1718011219.8791556,52490,183.0
1718011221.9967754,52810,183.0
1718011224.1195588,53130,183.0
1718011226.234575,53450,183.0
1718011228.3375542,53770,183.0
1718011230.532832,54090,187.0
1718011232.7377193,54410,219.0
1718011234.921019,54730,251.0
1718011237.056799,55050,251.0
1718011239.2498024,55370,251.0
1718011241.4038086,55690,251.0
1718011243.5928168,56010,154.0
1718011245.698649,56330,237.0
1718011247.8096588,56650,194.0
1718011249.9546645,56970,279.0
1718011252.0866265,57290,279.0
1718011254.2236457,57610,279.0
1718011256.3896441,57930,183.0
1718011258.4936347,58250,179.0
1718011260.604624,58570,188.0
1718011262.7486389,58890,252.0
1718011264.875724,59210,252.0
1718011267.0077138,59530,149.0
1718011269.0977116,59850,149.0
1718011271.1956973,60170,192.0
1718011273.293677,60490,170.0
1718011275.4566844,60810,230.0
1718011277.603706,61130,230.0
1718011279.7347903,61450,230.0
1718011281.8415077,61770,184.0
1718011283.9685051,62090,185.0
1718011286.1184988,62410,194.0
1718011288.2524884,62730,194.0
1718011290.39249,63050,212.0
1718011292.5474155,63370,212.0
1718011294.7455404,63690,298.0
1718011296.921774,64010,200.0
1718011299.0737762,64330,184.0
1718011301.181285,64650,146.0
1718011303.2976792,64970,207.0
1718011305.4516087,65290,207.0
1718011307.5396128,65610,207.0
1718011309.718839,65930,168.0
1718011311.876841,66250,168.0
1718011313.9968274,66570,227.0
1718011316.092808,66890,181.0
1718011318.2458022,67210,145.0
1718011320.4085534,67530,171.0
1718011330.9335377,69690,171.0
1718011338.5515215,71610,51.0
1718011346.382885,73530,40.0
1718011354.3377454,75450,44.0
1718011362.249811,77370,42.0
1718011370.2208586,79290,37.0
1718011378.1160028,81210,47.0
1718011386.0016422,83130,39.0
1718011393.9286144,85050,41.0
1718011401.8509288,86970,39.0
1718011409.7768052,88890,34.0
1718011417.6755073,90810,38.0
1718011425.6142218,92730,34.0
1718011439.050972,95450,33.0
1718011444.884852,96730,56.0
1718011450.7773046,98010,43.0
1718011456.793825,99290,62.0
1718011462.6709433,100570,50.0
1718011468.6809077,101850,50.0
1718011484.0248137,105010,51.0
1718011494.8387468,107570,62.0
1718011506.119613,110130,41.0
1718011517.5658722,112690,38.0
1718011528.8066692,115250,47.0
1718011541.703109,117890,47.0
1718011551.100649,120450,61.0
1718011561.1719983,123010,86.0
1718011571.234001,125570,66.0
1718011581.1559484,128130,94.0
1718011591.5939262,130690,94.0
1718011601.4150846,133250,60.0
1718011611.728571,135810,95.0
1718011621.5999937,138370,43.0
1718011631.6318083,140930,81.0
1718011641.8759477,143490,57.0
1718011652.0706902,146050,95.0
1718011661.9991093,148610,57.0
1718011671.7577548,151170,64.0
1718011681.8880432,153730,43.0
1718011692.1577704,156290,57.0
1718011702.1888063,158850,63.0
