Wall time,Step,Value
1718016935.9927034,320,28.0
1718016937.2350006,640,30.0
1718016938.4797857,960,30.0
1718016939.7417834,1280,24.0
1718016940.984604,1600,30.0
1718016942.2323914,1920,30.0
1718016943.5108962,2240,5.0
1718016944.8010652,2560,30.0
1718016946.0758169,2880,6.0
1718016947.3311012,3200,6.0
1718016948.6239512,3520,30.0
1718016949.903746,3840,7.0
1718016951.2155452,4160,6.0
1718016952.510342,4480,6.0
1718016953.8736508,4800,11.0
1718016955.1897008,5120,30.0
1718016956.525593,5440,7.0
1718016959.3033721,5860,6.0
1718016960.5226507,6180,64.0
1718016961.7478085,6500,18.0
1718016962.975591,6820,25.0
1718016964.1738617,7140,100.0
1718016965.3826404,7460,100.0
1718016966.6119184,7780,100.0
1718016967.8401961,8100,100.0
1718016969.057975,8420,73.0
1718016970.308258,8740,22.0
1718016971.5445485,9060,32.0
1718016972.804445,9380,65.0
1718016974.0786011,9700,18.0
1718016975.3085241,10020,39.0
1718016976.5933201,10340,32.0
1718016977.8774936,10660,17.0
1718016979.105806,10980,23.0
1718016980.409028,11300,26.0
1718016983.6532466,11780,28.0
1718016985.119579,12100,30.0
1718016986.5469089,12420,30.0
1718016989.9141958,12960,29.0
1718016991.22049,13280,29.0
1718016992.522785,13600,94.0
1718016993.821484,13920,17.0
1718016995.1114285,14240,17.0
1718016996.4047213,14560,19.0
1718016997.7086463,14880,66.0
1718016998.9996452,15200,49.0
1718017000.3029404,15520,21.0
1718017001.5902443,15840,100.0
1718017002.8805609,16160,100.0
1718017004.1708548,16480,19.0
1718017005.478312,16800,42.0
1718017006.7836065,17120,44.0
1718017008.102905,17440,14.0
1718017009.4310844,17760,17.0
1718017010.7524052,18080,37.0
1718017012.0702078,18400,17.0
1718017013.3885062,18720,32.0
1718017014.7053182,19040,24.0
1718017016.01585,19360,13.0
1718017017.3299532,19680,15.0
1718017018.66976,20000,26.0
1718017020.014567,20320,30.0
1718017021.3328648,20640,31.0
1718017022.6628973,20960,14.0
1718017024.007202,21280,15.0
1718017025.3465054,21600,17.0
1718017026.6791608,21920,23.0
1718017028.0249717,22240,14.0
