Wall time,Step,Value
1718013833.5173533,320,9.0
1718013834.7991455,640,30.0
1718013836.0749404,960,6.0
1718013837.3562305,1280,16.0
1718013838.652522,1600,15.0
1718013839.920853,1920,30.0
1718013841.2601564,2240,30.0
1718013842.626113,2560,6.0
1718013843.957699,2880,9.0
1718013845.2896757,3200,22.0
1718013846.6104796,3520,5.0
1718013847.935779,3840,6.0
1718013849.2620416,4160,6.0
1718013850.590966,4480,30.0
1718013851.9444747,4800,8.0
1718013853.2907798,5120,8.0
1718013854.6400852,5440,6.0
1718013857.2702198,5810,32.0
1718013858.552012,6130,18.0
1718013859.840304,6450,13.0
1718013861.1391017,6770,44.0
1718013862.4339838,7090,1.0
1718013863.73792,7410,33.0
1718013865.0222106,7730,46.0
1718013866.309397,8050,39.0
1718013867.62992,8370,30.0
1718013868.9242296,8690,43.0
1718013872.0069277,9110,28.0
1718013873.5282712,9430,30.0
1718013875.0461173,9750,30.0
1718013878.5239153,10290,25.0
1718013879.8617234,10610,36.0
1718013881.205027,10930,26.0
1718013882.5858448,11250,53.0
1718013883.9590764,11570,15.0
1718013885.480657,11890,17.0
1718013886.8284657,12210,19.0
1718013888.1991496,12530,19.0
1718013889.5621622,12850,29.0
1718013890.9419782,13170,19.0
1718013892.3112988,13490,36.0
1718013893.7051198,13810,12.0
1718013895.0834303,14130,29.0
1718013896.4567406,14450,41.0
1718013897.850056,14770,20.0
1718013899.2223794,15090,17.0
1718013900.5627835,15410,20.0
1718013901.976117,15730,28.0
1718013903.3626783,16050,17.0
1718013904.7559214,16370,31.0
1718013906.1182292,16690,18.0
1718013907.4990475,17010,24.0
1718013908.8744075,17330,22.0
1718013910.2777238,17650,15.0
1718013911.6400483,17970,28.0
1718013913.0358927,18290,22.0
1718013914.41071,18610,15.0
1718013915.8140252,18930,25.0
1718013917.218858,19250,24.0
1718013918.5951874,19570,33.0
1718013919.9720032,19890,24.0
1718013921.3718276,20210,20.0
1718013922.7469583,20530,22.0
1718013924.0962641,20850,16.0
1718013925.4745874,21170,16.0
1718013928.7870412,21620,25.0
1718013930.4244218,21940,25.0
1718013932.0647926,22260,25.0
1718013933.6861596,22580,25.0
1718013935.2780232,22900,25.0
1718013936.8503797,23220,25.0
1718013938.4727452,23540,221.0
1718013940.0381002,23860,221.0
1718013941.6614733,24180,288.0
1718013943.276612,24500,288.0
1718013944.8831165,24820,348.0
1718013946.4670167,25140,348.0
1718013948.05142,25460,348.0
1718013949.6487818,25780,348.0
1718013951.223008,26100,258.0
1718013952.8569672,26420,267.0
1718013954.4443355,26740,196.0
1718013956.054212,27060,222.0
1718013957.6475868,27380,247.0
1718013959.2419465,27700,247.0
1718013960.8583267,28020,247.0
1718013962.4531915,28340,349.0
1718013964.0964222,28660,211.0
1718013965.7178164,28980,275.0
1718013967.3391826,29300,234.0
1718013968.9835544,29620,223.0
1718013970.5952024,29940,223.0
1718013972.2009635,30260,223.0
1718013973.8022058,30580,211.0
1718013975.412092,30900,182.0
1718013977.0334585,31220,249.0
1718013978.6438339,31540,268.0
1718013980.265933,31860,239.0
1718013981.853292,32180,239.0
1718013983.448162,32500,239.0
1718013985.0600443,32820,189.0
1718013986.680915,33140,220.0
1718013988.3060582,33460,220.0
1718013989.9444287,33780,240.0
1718013991.556645,34100,222.0
1718013993.1609337,34420,222.0
1718013994.7703726,34740,350.0
1718013996.3736835,35060,226.0
1718013998.0545685,35380,226.0
1718013999.7074456,35700,226.0
1718014001.3348136,36020,226.0
1718014002.957785,36340,233.0
1718014004.6091752,36660,269.0
1718014006.251483,36980,221.0
1718014007.8891487,37300,260.0
1718014009.5135164,37620,260.0
1718014011.1378713,37940,281.0
1718014012.747389,38260,189.0
1718014014.3448699,38580,211.0
1718014015.928239,38900,211.0
