Wall time,Step,Value
1718173401.964271,320,7.0
1718173403.5955489,640,6.0
1718173405.1469958,960,30.0
1718173406.7215354,1280,14.0
1718173408.2543802,1600,30.0
1718173409.8061187,1920,12.0
1718173411.3703308,2240,8.0
1718173412.9165306,2560,30.0
1718173414.495098,2880,6.0
1718173416.0546467,3200,6.0
1718173417.6673868,3520,10.0
1718173419.2867346,3840,6.0
1718173423.2626705,4440,31.0
1718173424.6799035,4760,26.0
1718173426.1028621,5080,40.0
1718173427.5356884,5400,22.0
1718173428.9675508,5720,31.0
1718173430.3766787,6040,100.0
1718173431.8104584,6360,18.0
1718173433.2527866,6680,100.0
1718173434.6599145,7000,46.0
1718173436.056826,7320,20.0
1718173437.4893494,7640,100.0
1718173438.8811326,7960,25.0
1718173440.3215296,8280,20.0
1718173441.7466943,8600,41.0
1718173443.2393332,8920,43.0
1718173444.694422,9240,24.0
1718173446.2288034,9560,38.0
1718173447.7526023,9880,22.0
1718173449.2926383,10200,17.0
1718173450.8412077,10520,20.0
1718173455.2987244,11140,28.0
1718173457.2151635,11460,30.0
1718173459.0444613,11780,30.0
1718173462.9662957,12320,31.0
1718173464.5437934,12640,33.0
1718173466.1695611,12960,28.0
1718173467.7801752,13280,83.0
1718173469.4760532,13600,28.0
1718173471.0671031,13920,28.0
1718173472.6650317,14240,46.0
1718173474.1734788,14560,56.0
1718173475.7171085,14880,29.0
1718173477.2482946,15200,22.0
1718173478.8686225,15520,17.0
1718173480.4175653,15840,20.0
1718173481.9983869,16160,20.0
1718173483.5888414,16480,20.0
1718173485.164847,16800,22.0
1718173486.7214277,17120,26.0
1718173488.2963378,17440,15.0
1718173489.9036076,17760,29.0
1718173491.6968088,18080,13.0
1718173493.267083,18400,22.0
1718173494.796638,18720,21.0
1718173496.3678415,19040,26.0
1718173497.939153,19360,13.0
1718173499.533336,19680,14.0
1718173501.0895157,20000,16.0
1718173502.6055102,20320,34.0
1718173504.0993361,20640,20.0
1718173505.6595328,20960,12.0
1718173507.232573,21280,28.0
1718173508.8171594,21600,37.0
1718173510.445509,21920,22.0
1718173512.1571193,22240,29.0
1718173513.8217525,22560,35.0
1718173515.4787624,22880,14.0
1718173518.6319451,23210,14.0
1718173520.5746205,23530,14.0
1718173522.5032086,23850,14.0
1718173524.438209,24170,14.0
1718173526.262894,24490,14.0
1718173528.1932309,24810,14.0
1718173530.257453,25130,14.0
1718173532.227185,25450,14.0
1718173534.117321,25770,287.0
1718173536.0236573,26090,298.0
1718173537.9756277,26410,298.0
1718173540.0039365,26730,298.0
1718173542.1004648,27050,298.0
1718173544.0079668,27370,298.0
1718173545.8442125,27690,298.0
1718173547.6783438,28010,298.0
1718173549.5193079,28330,275.0
1718173551.401397,28650,277.0
1718173553.2995028,28970,300.0
1718173555.203875,29290,300.0
1718173557.1129394,29610,300.0
1718173559.0138817,29930,300.0
1718173561.0166557,30250,300.0
1718173562.9247472,30570,239.0
1718173564.7800617,30890,269.0
1718173566.653622,31210,290.0
1718173568.5509882,31530,290.0
1718173570.4527917,31850,300.0
1718173572.3515537,32170,300.0
1718173574.3242831,32490,300.0
1718173576.2505515,32810,300.0
1718173578.1498501,33130,222.0
1718173580.0609963,33450,236.0
1718173585.5692008,34450,249.0
1718173589.54116,35410,60.0
1718173593.5366187,36370,60.0
1718173597.484705,37330,79.0
1718173601.5756743,38290,55.0
1718173605.4777586,39250,80.0
1718173609.375491,40210,62.0
1718173613.2570012,41170,61.0
1718173617.1683376,42130,75.0
1718173621.2089975,43090,69.0
1718173625.1902761,44050,62.0
1718173629.1266136,45010,65.0
1718173633.160009,45970,95.0
1718173637.1240034,46930,90.0
1718173641.2471,47890,87.0
1718173645.241686,48850,100.0
1718173649.3432126,49810,100.0
1718173653.3813963,50770,100.0
1718173658.1380658,51730,100.0
1718173662.6813169,52690,100.0
1718173666.9238966,53650,100.0
1718173671.1869445,54610,100.0
1718173675.4205809,55570,100.0
1718173679.6541498,56530,100.0
1718173683.7594633,57490,100.0
1718173687.9130816,58450,100.0
1718173692.0794084,59410,100.0
1718173696.5403297,60370,100.0
1718173700.9859226,61330,100.0
1718173705.3275316,62290,100.0
1718173709.481347,63250,100.0
1718173713.543616,64210,100.0
1718173717.5850766,65170,100.0
1718173721.7896013,66130,100.0
1718173726.048988,67090,100.0
1718173730.1982262,68050,100.0
1718173734.3735607,69010,100.0
1718173738.410224,69970,100.0
1718173742.382689,70930,100.0
1718173746.6500382,71890,100.0
1718173750.9081385,72850,100.0
1718173755.099413,73810,100.0
1718173759.362048,74770,100.0
1718173763.2439272,75730,100.0
1718173766.969077,76690,100.0
1718173770.7885153,77650,100.0
1718173774.6085923,78610,98.0
1718173778.4237125,79570,100.0
1718173782.4940877,80530,100.0
1718173786.2305062,81490,100.0
1718173789.9304342,82450,100.0
1718173793.637897,83410,100.0
1718173797.4650593,84370,100.0
1718173801.4162505,85330,100.0
1718173805.2521238,86290,100.0
1718173809.1242497,87250,100.0
1718173813.0128498,88210,100.0
1718173816.8845272,89170,86.0
1718173820.6644948,90130,86.0
1718173824.4990838,91090,68.0
1718173828.421514,92050,100.0
1718173832.2700672,93010,90.0
1718173836.1307404,93970,100.0
1718173839.872873,94930,100.0
1718173843.6359005,95890,97.0
1718173847.49032,96850,100.0
1718173851.393817,97810,89.0
1718173855.3418365,98770,100.0
1718173859.2172918,99730,90.0
1718173863.1264682,100690,74.0
1718173867.1410263,101650,69.0
1718173871.0778706,102610,89.0
1718173875.0675936,103570,73.0
1718173879.0643308,104530,84.0
1718173882.9665754,105490,78.0
1718173886.9671035,106450,66.0
1718173890.9321022,107410,56.0
1718173894.8094563,108370,60.0
1718173905.753485,110170,78.0
1718173912.189286,111130,78.0
1718173918.6432545,112090,78.0
1718173925.1639464,113050,78.0
1718173931.6547766,114010,78.0
1718173938.0504491,114970,78.0
1718173944.195801,115930,222.0
1718173950.3328564,116890,255.0
1718173956.9715734,117850,261.0
1718173963.38995,118810,261.0
1718173969.8267457,119770,261.0
1718173976.188937,120730,261.0
1718173982.5099056,121690,261.0
1718173988.9156299,122650,261.0
1718173995.0361035,123610,229.0
1718174001.147441,124570,263.0
1718174007.3063328,125530,269.0
1718174013.4343734,126490,302.0
1718174019.6949031,127450,302.0
1718174025.9499314,128410,302.0
1718174032.300915,129370,400.0
1718174038.5369334,130330,400.0
1718174044.4886196,131290,248.0
1718174050.201961,132250,254.0
1718174056.191352,133210,252.0
1718174062.2608151,134170,252.0
1718174068.254085,135130,366.0
1718174074.2940934,136090,231.0
1718174080.461115,137050,260.0
1718174086.577467,138010,260.0
1718174092.5985367,138970,247.0
1718174098.7657375,139930,235.0
1718174105.1084769,140890,270.0
1718174111.4005094,141850,270.0
1718174116.9490263,142590,270.0
1718174118.5737743,142910,270.0
1718174120.1242921,143230,94.0
1718174121.6381958,143550,126.0
1718174123.189761,143870,126.0
1718174124.762284,144190,178.0
1718174126.2152367,144510,107.0
1718174127.743107,144830,180.0
1718174129.2468424,145150,98.0
1718174130.7651958,145470,180.0
1718174132.293131,145790,180.0
1718174133.864109,146110,106.0
1718174135.38542,146430,162.0
1718174136.9032452,146750,104.0
1718174138.4289742,147070,73.0
1718174139.9822989,147390,53.0
1718174141.4765923,147710,180.0
1718174142.9483635,148030,56.0
1718174144.4832504,148350,115.0
1718174145.9724717,148670,69.0
1718174147.4952605,148990,59.0
1718174148.9940834,149310,180.0
1718174150.515005,149630,53.0
1718174152.059947,149950,180.0
1718174153.6248648,150270,54.0
1718174155.1763003,150590,180.0
1718174156.7352526,150910,68.0
1718174158.2987077,151230,69.0
1718174159.860128,151550,61.0
1718174161.4206996,151870,51.0
1718174162.9630787,152190,180.0
1718174164.5284817,152510,180.0
1718174166.0849895,152830,180.0
1718174167.635883,153150,180.0
1718174169.183372,153470,180.0
1718174170.6942687,153790,180.0
1718174172.1970634,154110,62.0
1718174173.7579684,154430,120.0
1718174175.2753642,154750,180.0
1718174176.8032026,155070,72.0
1718174178.3556466,155390,97.0
1718174179.8750458,155710,97.0
1718174181.432008,156030,113.0
1718174182.9689615,156350,45.0
1718174184.5463705,156670,151.0
1718174186.0993316,156990,161.0
1718174187.6597474,157310,60.0
1718174189.226732,157630,53.0
1718174190.800194,157950,156.0
1718174192.3361068,158270,180.0
1718174193.901519,158590,180.0
1718174195.461967,158910,180.0
1718174197.0188296,159230,94.0
1718174198.583797,159550,180.0
1718174200.1156716,159870,78.0
1718174201.671571,160190,61.0
1718174203.253565,160510,52.0
1718174204.7933466,160830,50.0
1718174206.324266,161150,50.0
1718174207.8751972,161470,180.0
1718174209.4743204,161790,51.0
1718174211.03623,162110,180.0
1718174212.6593328,162430,180.0
1718174214.2222717,162750,140.0
1718174215.7410321,163070,42.0
1718174217.281152,163390,95.0
1718174218.806064,163710,121.0
1718174220.37349,164030,50.0
1718174221.9464908,164350,47.0
1718174223.5399528,164670,59.0
1718174225.1089525,164990,74.0
1718174226.6698968,165310,57.0
1718174228.2097168,165630,175.0
1718174229.8060822,165950,51.0
1718174231.434636,166270,58.0
1718174233.056165,166590,117.0
1718174234.6230817,166910,58.0
1718174236.1664476,167230,67.0
1718174237.7068188,167550,69.0
1718174239.2953634,167870,46.0
1718174240.8850086,168190,52.0
1718174242.4514337,168510,54.0
1718174244.0253508,168830,73.0
1718174245.5967872,169150,59.0
1718174252.2109334,170370,118.0
1718174256.3120878,171330,63.0
1718174260.4453778,172290,46.0
1718174264.549667,173250,43.0
1718174268.7083414,174210,50.0
1718174272.8524168,175170,39.0
1718174283.8115237,177540,53.0
1718174291.2772558,179460,60.0
1718174298.9215662,181380,67.0
1718174307.0685275,183300,60.0
1718174315.0737925,185220,55.0
1718174322.90416,187140,76.0
1718174330.414273,189060,56.0
1718174340.4759424,190940,58.0
1718174346.0877333,192220,64.0
1718174351.9259236,193500,75.0
1718174357.4522998,194780,64.0
1718174362.7523415,196060,47.0
1718174368.1901646,197340,56.0
1718174373.573268,198620,66.0
1718174385.8248608,201260,66.0
1718174395.6211762,203820,64.0
1718174406.403229,206380,79.0
1718174416.4045765,208940,68.0
1718174427.1717396,211500,56.0
1718174437.2842014,214060,57.0
1718174447.6537035,216620,63.0
1718174464.2503362,220620,49.0
1718174472.8722262,223180,64.0
1718174481.5261445,225740,96.0
1718174490.3477066,228300,122.0
1718174499.905892,230860,148.0
1718174509.0794258,233420,74.0
1718174518.5644357,235980,66.0
1718174527.8267002,238540,69.0
1718174537.1933033,241100,81.0
1718174546.7036226,243660,85.0
1718174555.8548808,246220,77.0
