Wall time,Step,Value
1718179931.0607603,320,6.0
1718179932.566427,640,5.0
1718179934.0529332,960,30.0
1718179935.5242095,1280,30.0
1718179937.0162745,1600,11.0
1718179938.5120785,1920,12.0
1718179940.0330124,2240,6.0
1718179941.5632358,2560,6.0
1718179945.4710963,3140,16.0
1718179946.9209156,3460,41.0
1718179948.3864205,3780,41.0
1718179949.8241158,4100,98.0
1718179951.3049917,4420,100.0
1718179952.796471,4740,31.0
1718179954.3055384,5060,83.0
1718179955.8244164,5380,100.0
1718179957.314041,5700,59.0
1718179958.7645571,6020,19.0
1718179960.2111478,6340,43.0
1718179961.6665425,6660,49.0
1718179963.120178,6980,100.0
1718179964.6044922,7300,42.0
1718179966.0796046,7620,21.0
1718179967.5554667,7940,25.0
1718179969.0581381,8260,26.0
1718179970.551968,8580,50.0
1718179972.0734105,8900,56.0
1718179973.5502925,9220,82.0
1718179975.0066264,9540,16.0
1718179976.461157,9860,68.0
1718179977.9465425,10180,69.0
1718179979.4538841,10500,22.0
1718179981.008107,10820,37.0
1718179982.4988685,11140,34.0
1718179984.0003774,11460,28.0
1718179986.9830317,11790,28.0
1718179988.7694144,12110,30.0
1718179990.5679185,12430,30.0
1718179994.4494386,12970,30.0
1718179996.00629,13290,20.0
1718179997.5669246,13610,24.0
1718179999.1250432,13930,20.0
1718180000.6943088,14250,17.0
1718180002.2385652,14570,19.0
1718180003.8805978,14890,20.0
1718180005.44326,15210,29.0
1718180007.022293,15530,17.0
1718180008.5929873,15850,15.0
1718180010.1645317,16170,15.0
1718180011.758186,16490,20.0
1718180013.3306365,16810,18.0
1718180014.9342926,17130,29.0
1718180016.5211945,17450,36.0
1718180018.0993993,17770,30.0
1718180019.7161868,18090,18.0
1718180021.304926,18410,19.0
1718180022.8678768,18730,28.0
1718180024.4733906,19050,17.0
1718180026.055491,19370,16.0
1718180027.6282337,19690,16.0
1718180029.1972594,20010,18.0
1718180030.8003285,20330,22.0
1718180032.3788757,20650,28.0
1718180033.9523354,20970,24.0
1718180035.5544894,21290,24.0
1718180037.1458862,21610,15.0
1718180038.6968527,21930,26.0
1718180040.2962928,22250,27.0
1718180041.8635855,22570,44.0
1718180043.4598775,22890,23.0
1718180045.0518458,23210,20.0
1718180046.6598496,23530,18.0
1718180048.306015,23850,25.0
1718180052.2650135,24350,18.0
1718180054.1778991,24670,18.0
1718180056.0730288,24990,18.0
1718180057.9679005,25310,18.0
1718180059.838812,25630,18.0
1718180061.7178597,25950,18.0
1718180063.5932665,26270,203.0
1718180065.4883919,26590,248.0
1718180067.3639684,26910,270.0
1718180069.313613,27230,298.0
1718180071.1965296,27550,298.0
1718180073.0967453,27870,298.0
1718180074.9818604,28190,298.0
1718180076.8384469,28510,298.0
1718180078.6726413,28830,215.0
1718180080.5522614,29150,241.0
1718180082.422952,29470,298.0
1718180084.2862322,29790,256.0
1718180086.1604512,30110,300.0
1718180088.062787,30430,300.0
1718180089.9793224,30750,300.0
1718180091.863471,31070,229.0
1718180093.7538147,31390,220.0
1718180095.662892,31710,245.0
1718180097.5536644,32030,246.0
1718180099.5099845,32350,246.0
1718180101.5078733,32670,300.0
1718180103.4254923,32990,300.0
1718180105.3397017,33310,192.0
1718180107.2649164,33630,192.0
1718180109.1893845,33950,300.0
1718180115.499676,35130,31.0
1718180119.2209542,36090,29.0
1718180123.1020377,37050,27.0
1718180126.9493706,38010,39.0
1718180136.17222,39450,42.0
1718180142.268166,40410,42.0
1718180148.2733028,41370,42.0
1718180154.3564575,42330,42.0
1718180160.494753,43290,42.0
1718180166.465052,44250,42.0
1718180172.1501617,45210,222.0
1718180177.9138682,46170,252.0
1718180183.8935301,47130,262.0
1718180189.940996,48090,262.0
1718180196.1930933,49050,331.0
1718180202.339955,50010,331.0
1718180208.413943,50970,331.0
1718180214.1834843,51930,212.0
1718180219.7594414,52890,218.0
1718180225.6403735,53850,261.0
1718180231.756646,54810,261.0
1718180237.6883569,55770,299.0
1718180243.6989112,56730,299.0
1718180249.8283954,57690,299.0
1718180255.9635923,58650,216.0
1718180261.877075,59610,225.0
1718180267.7786577,60570,400.0
1718180273.788167,61530,236.0
1718180279.9262006,62490,220.0
1718180286.1824656,63450,220.0
1718180292.505499,64410,220.0
1718180298.5918221,65370,220.0
1718180304.3364115,66330,206.0
1718180310.0140607,67290,234.0
1718180313.3709753,67730,253.0
1718180314.867238,68050,62.0
1718180316.3311596,68370,52.0
1718180317.8205957,68690,61.0
1718180319.2986245,69010,112.0
1718180320.7890773,69330,46.0
1718180322.2726834,69650,56.0
1718180323.7365828,69970,88.0
1718180325.209856,70290,97.0
1718180326.7128744,70610,53.0
1718180328.2237666,70930,53.0
1718180329.720253,71250,47.0
1718180331.2213812,71570,50.0
1718180332.7309382,71890,49.0
1718180334.1995811,72210,88.0
1718180335.678747,72530,51.0
1718180337.1641128,72850,57.0
1718180338.648498,73170,122.0
1718180340.1497781,73490,47.0
1718180341.620532,73810,60.0
1718180343.1265724,74130,48.0
1718180344.6080878,74450,55.0
1718180346.113216,74770,41.0
1718180347.5956016,75090,58.0
1718180349.1573613,75410,41.0
1718180350.7271295,75730,60.0
1718180352.2836537,76050,50.0
1718180353.8120914,76370,52.0
1718180355.2942357,76690,51.0
1718180360.8628967,77760,51.0
1718180364.7886982,78720,53.0
1718180368.708405,79680,48.0
1718180372.6734061,80640,82.0
1718180376.6755836,81600,49.0
1718180389.03825,84480,50.0
1718180396.0647597,86400,48.0
1718180403.1805668,88320,43.0
1718180410.446869,90240,44.0
1718180417.858132,92160,40.0
1718180425.0908492,94080,59.0
1718180432.3769093,96000,38.0
1718180439.7442212,97920,42.0
1718180447.1168005,99840,41.0
1718180454.4408479,101760,41.0
1718180461.7837718,103680,46.0
1718180469.185963,105600,39.0
1718180476.5653822,107520,39.0
1718180483.8522856,109440,45.0
1718180493.9892895,111500,38.0
1718180499.4521797,112780,62.0
1718180505.3807886,114060,67.0
1718180510.867397,115340,60.0
1718180516.6050088,116620,51.0
1718180522.360327,117900,71.0
1718180527.9408994,119180,52.0
1718180540.7510202,121900,61.0
1718180551.0551243,124460,64.0
1718180561.5183072,127020,41.0
1718180572.1218789,129580,85.0
1718180582.8314826,132140,42.0
1718180593.05957,134700,84.0
1718180603.4043465,137260,91.0
1718180613.6853585,139820,41.0
1718180624.2408888,142380,86.0
1718180634.7345335,144940,51.0
1718180645.3656611,147500,40.0
1718180656.1475003,150060,39.0
1718180666.7058506,152620,40.0
1718180677.1163719,155180,93.0
1718180687.6167514,157740,38.0
1718180698.0632353,160300,45.0
1718180708.503804,162860,70.0
1718180719.1773312,165420,43.0
1718180730.0375283,167980,41.0
1718180740.695441,170540,39.0
1718180751.3701115,173100,43.0
1718180762.110912,175660,39.0
1718180772.7801397,178220,69.0
1718180783.89529,180780,38.0
1718180794.6442118,183340,40.0
1718180805.2237005,185900,71.0
1718180815.7656717,188460,58.0
1718180826.5400357,191020,42.0
1718180837.5108438,193580,52.0
1718180848.3366237,196140,54.0
1718180859.220027,198700,49.0
1718180869.933952,201260,44.0
1718180880.815975,203820,49.0
1718180891.7288368,206380,60.0
1718180902.415691,208940,44.0
1718180912.9877691,211500,41.0
1718180923.804071,214060,40.0
1718180934.392886,216620,56.0
1718180944.933836,219180,49.0
1718180955.7677658,221740,47.0
1718180966.2209487,224300,48.0
1718180977.0420434,226860,44.0
1718180987.812299,229420,52.0
1718180998.4374948,231980,44.0
1718181009.1109326,234540,41.0
1718181025.391761,238060,48.0
1718181035.0195315,240620,61.0
1718181044.5234823,243180,87.0
1718181054.2737305,245740,117.0
1718181063.8209684,248300,146.0
1718181073.4790938,250860,78.0
1718181083.1504152,253420,135.0
1718181093.4021614,255980,95.0
1718181102.851551,258540,104.0
1718181112.4812891,261100,107.0
1718181122.2953026,263660,102.0
1718181131.564726,266220,91.0
