Wall time,Step,Value
1718175453.7130978,320,6.0
1718175455.260443,640,14.0
1718175456.7645986,960,30.0
1718175458.280754,1280,30.0
1718175459.7868812,1600,22.0
1718175461.2786212,1920,7.0
1718175462.7942457,2240,30.0
1718175464.2884486,2560,10.0
1718175465.769105,2880,8.0
1718175467.2791488,3200,14.0
1718175468.8115735,3520,6.0
1718175470.3500874,3840,10.0
1718175473.2898774,4230,31.0
1718175474.7299817,4550,31.0
1718175476.189274,4870,93.0
1718175477.6569312,5190,20.0
1718175479.1491158,5510,20.0
1718175480.6198344,5830,12.0
1718175482.0863633,6150,21.0
1718175483.5462542,6470,41.0
1718175485.021732,6790,36.0
1718175486.477765,7110,26.0
1718175487.9499807,7430,100.0
1718175489.4214072,7750,21.0
1718175490.9099698,8070,39.0
1718175492.3988876,8390,27.0
1718175493.8677971,8710,100.0
1718175495.33428,9030,14.0
1718175496.8144276,9350,34.0
1718175498.327683,9670,18.0
1718175499.812807,9990,39.0
1718175503.9135053,10570,28.0
1718175505.6618824,10890,30.0
1718175507.4261568,11210,30.0
1718175511.3029394,11750,27.0
1718175512.818987,12070,61.0
1718175514.3610222,12390,47.0
1718175515.8807034,12710,100.0
1718175517.4144852,13030,23.0
1718175518.953089,13350,70.0
1718175520.4983344,13670,60.0
1718175522.0529652,13990,24.0
1718175523.6115894,14310,36.0
1718175525.158005,14630,26.0
1718175526.7070825,14950,17.0
1718175528.2562146,15270,18.0
1718175529.8124506,15590,52.0
1718175531.382611,15910,35.0
1718175532.920955,16230,20.0
1718175534.4874818,16550,32.0
1718175536.0517395,16870,28.0
1718175537.6074765,17190,31.0
1718175539.170987,17510,23.0
1718175540.7460163,17830,14.0
1718175542.3232267,18150,14.0
1718175543.8957188,18470,31.0
1718175545.4801643,18790,37.0
1718175547.081991,19110,25.0
1718175548.6629064,19430,20.0
1718175550.2208226,19750,19.0
1718175551.8135755,20070,15.0
1718175553.3951023,20390,16.0
1718175557.3818114,20900,28.0
1718175559.342411,21220,28.0
1718175561.1909506,21540,28.0
1718175563.0760872,21860,28.0
1718175564.9467695,22180,28.0
1718175566.805864,22500,28.0
1718175568.7178953,22820,28.0
1718175570.6321938,23140,248.0
1718175572.5021446,23460,288.0
1718175574.4164302,23780,298.0
1718175576.3020918,24100,298.0
1718175578.202584,24420,298.0
1718175580.1042607,24740,298.0
1718175581.9698167,25060,298.0
1718175583.8865633,25380,237.0
1718175585.7642777,25700,263.0
1718175587.6682358,26020,254.0
1718175589.5610998,26340,273.0
1718175591.4529517,26660,273.0
1718175593.4018524,26980,273.0
1718175595.2790341,27300,273.0
1718175597.1997948,27620,240.0
1718175599.0607176,27940,214.0
1718175600.9527895,28260,192.0
1718175602.8561077,28580,255.0
1718175604.7670498,28900,275.0
1718175606.6916735,29220,300.0
1718175608.6996758,29540,300.0
1718175610.5763364,29860,300.0
1718175612.4489954,30180,257.0
1718175614.3128119,30500,250.0
1718175619.5416553,31480,250.0
1718175623.491442,32440,46.0
1718175627.4935265,33400,39.0
1718175631.399055,34360,43.0
1718175635.3413196,35320,38.0
1718175639.325126,36280,34.0
1718175643.3789115,37240,41.0
1718175647.4444292,38200,37.0
1718175651.515094,39160,40.0
1718175655.5800629,40120,42.0
1718175659.6990526,41080,41.0
1718175663.7401762,42040,46.0
1718175667.7508965,43000,39.0
1718175671.7973866,43960,37.0
1718175675.7323668,44920,44.0
1718175679.8907003,45880,36.0
1718175683.7881298,46840,45.0
1718175687.6643982,47800,44.0
