Wall time,Step,Value
1718178070.5024028,320,9.0
1718178072.076394,640,12.0
1718178073.6630034,960,5.0
1718178075.1505542,1280,9.0
1718178076.67568,1600,7.0
1718178078.152651,1920,7.0
1718178079.6788096,2240,12.0
1718178081.2480888,2560,8.0
1718178082.9001348,2880,10.0
1718178084.4952772,3200,12.0
1718178086.1140149,3520,6.0
1718178087.6668527,3840,30.0
1718178089.214731,4160,30.0
1718178090.733726,4480,13.0
1718178092.321853,4800,6.0
1718178095.9303617,5330,25.0
1718178097.3773034,5650,59.0
1718178098.8404384,5970,35.0
1718178100.3496323,6290,100.0
1718178101.8066444,6610,36.0
1718178103.297301,6930,100.0
1718178104.760778,7250,100.0
1718178106.24426,7570,100.0
1718178107.7452238,7890,100.0
1718178109.2402196,8210,35.0
1718178110.7097216,8530,51.0
1718178112.1712198,8850,100.0
1718178113.6292362,9170,100.0
1718178115.1178405,9490,32.0
1718178116.638477,9810,23.0
1718178118.1029305,10130,100.0
1718178119.5954607,10450,58.0
1718178121.1000426,10770,35.0
1718178125.479616,11410,28.0
1718178127.2223887,11730,30.0
1718178128.98488,12050,30.0
1718178132.8775132,12590,28.0
1718178134.3952682,12910,54.0
1718178135.9363282,13230,21.0
1718178137.4870157,13550,73.0
1718178139.0250742,13870,40.0
1718178140.579745,14190,18.0
1718178142.1248696,14510,28.0
1718178143.699774,14830,100.0
1718178145.255706,15150,29.0
1718178146.8348517,15470,40.0
1718178148.394076,15790,33.0
1718178149.9470224,16110,36.0
1718178151.4917233,16430,57.0
1718178153.0548608,16750,35.0
1718178154.7034955,17070,28.0
1718178156.3298502,17390,25.0
1718178157.9150743,17710,26.0
1718178159.4983637,18030,15.0
1718178161.0495071,18350,22.0
1718178162.6201553,18670,30.0
1718178164.2164423,18990,20.0
1718178165.8218834,19310,30.0
1718178167.3803878,19630,23.0
1718178168.9275753,19950,30.0
1718178170.5136054,20270,19.0
1718178172.0915303,20590,18.0
1718178173.7100692,20910,33.0
1718178175.2652025,21230,16.0
1718178176.8636668,21550,17.0
1718178178.4351661,21870,24.0
1718178179.9997962,22190,19.0
1718178181.5954263,22510,27.0
1718178183.1882331,22830,17.0
1718178184.780113,23150,16.0
1718178187.8941655,23480,16.0
1718178189.777709,23800,16.0
1718178191.6434543,24120,16.0
1718178193.5177753,24440,16.0
1718178195.373457,24760,16.0
1718178197.2683067,25080,16.0
1718178199.1129706,25400,16.0
1718178200.9588838,25720,242.0
