Wall time,Step,Value
1717660421.334165,320,7.0
1717660422.8855257,640,5.0
1717660424.3259969,960,15.0
1717660425.6856465,1280,18.0
1717660427.0122638,1600,18.0
1717660428.310051,1920,8.0
1717660429.6513686,2240,6.0
1717660431.0226772,2560,5.0
1717660432.4720027,2880,13.0
1717660434.0483575,3200,12.0
1717660436.8674963,3520,8.0
1717660438.5463789,3840,6.0
1717660440.559427,4160,9.0
1717660442.9239585,4480,15.0
1717660446.4322765,4920,32.0
1717660448.0088835,5240,35.0
1717660449.3612454,5560,77.0
1717660450.7093313,5880,20.0
1717660452.0254946,6200,31.0
1717660453.3231392,6520,25.0
1717660454.630433,6840,61.0
1717660455.9257243,7160,100.0
1717660457.2300186,7480,70.0
1717660458.5943248,7800,87.0
1717660459.9071248,8120,26.0
1717660461.2444258,8440,100.0
1717660462.6382816,8760,97.0
1717660464.0170946,9080,31.0
1717660465.467439,9400,30.0
1717660466.8792799,9720,40.0
1717660468.2585897,10040,13.0
1717660469.5878887,10360,28.0
1717660473.6703167,10890,28.0
1717660475.4720726,11210,30.0
1717660477.226467,11530,30.0
1717660480.962898,12070,25.0
1717660482.3342066,12390,63.0
1717660483.7100196,12710,18.0
1717660485.1723654,13030,26.0
1717660486.7147121,13350,100.0
1717660488.252136,13670,34.0
1717660489.8598707,13990,37.0
1717660491.336041,14310,37.0
1717660492.8683856,14630,22.0
1717660494.2774625,14950,19.0
1717660495.8187983,15270,19.0
1717660497.9192705,15590,24.0
1717660499.3661003,15910,28.0
1717660500.7354083,16230,18.0
1717660502.1027155,16550,18.0
1717660503.4470174,16870,33.0
1717660504.8028264,17190,19.0
1717660506.1481283,17510,16.0
1717660507.5124526,17830,26.0
1717660508.8902824,18150,17.0
1717660510.2985492,18470,27.0
1717660511.707834,18790,16.0
1717660513.1021473,19110,17.0
1717660514.4559393,19430,29.0
1717660515.8129895,19750,17.0
1717660517.146184,20070,18.0
1717660518.5394976,20390,13.0
1717660519.9163525,20710,25.0
1717660521.297096,21030,20.0
1717660522.653412,21350,14.0
1717660524.0147173,21670,13.0
1717660525.4300365,21990,24.0
