Wall time,Step,Value
1717663871.2342823,320,9.0
1717663872.5085683,640,30.0
1717663873.815862,960,8.0
1717663875.116155,1280,30.0
1717663876.3754375,1600,9.0
1717663877.6443071,1920,25.0
1717663878.9466002,2240,30.0
1717663880.2573984,2560,6.0
1717663881.5822644,2880,11.0
1717663882.8989573,3200,30.0
1717663884.220126,3520,9.0
1717663885.5293553,3840,6.0
1717663886.8866599,4160,9.0
1717663889.337587,4490,32.0
1717663890.692221,4810,18.0
1717663892.0395234,5130,18.0
1717663893.3218117,5450,30.0
1717663894.601116,5770,59.0
1717663895.9554217,6090,17.0
1717663897.308522,6410,100.0
1717663898.6694367,6730,72.0
1717663899.9977343,7050,38.0
1717663901.3010275,7370,40.0
1717663902.5693128,7690,31.0
1717663903.849611,8010,72.0
1717663905.1399138,8330,18.0
1717663906.4472175,8650,12.0
1717663907.801564,8970,59.0
1717663909.1314063,9290,16.0
1717663910.4495354,9610,40.0
1717663911.7307394,9930,52.0
1717663913.0150433,10250,65.0
1717663916.3214571,10720,28.0
1717663917.8978117,11040,30.0
1717663919.4301558,11360,30.0
1717663922.9329433,11900,30.0
1717663924.2517426,12220,24.0
1717663925.5555403,12540,19.0
1717663926.8738365,12860,100.0
1717663928.2236555,13180,29.0
1717663929.530773,13500,49.0
1717663930.8461852,13820,78.0
1717663932.1856322,14140,82.0
1717663933.5452485,14460,25.0
1717663934.9022331,14780,50.0
1717663936.2420645,15100,44.0
1717663937.5903795,15420,14.0
1717663938.9371874,15740,30.0
1717663940.273676,16060,20.0
1717663941.6134803,16380,18.0
1717663942.9740727,16700,18.0
1717663944.3643773,17020,18.0
1717663945.7216866,17340,25.0
1717663947.0799925,17660,17.0
1717663948.4323666,17980,43.0
1717663949.804675,18300,38.0
1717663951.1519778,18620,19.0
1717663952.490279,18940,26.0
1717663953.8405824,19260,28.0
1717663955.2348962,19580,34.0
1717663956.6057217,19900,20.0
1717663957.9570386,20220,30.0
1717663959.2988446,20540,31.0
1717663960.6528697,20860,20.0
1717663962.0122762,21180,24.0
1717663963.3780615,21500,21.0
1717663964.7588968,21820,21.0
1717663966.179217,22140,18.0
1717663967.5750372,22460,20.0
1717663968.9403434,22780,30.0
1717663970.3276558,23100,32.0
1717663974.3275042,23710,14.0
1717663975.9448674,24030,14.0
1717663977.555242,24350,14.0
1717663979.1356099,24670,14.0
1717663980.7343855,24990,14.0
1717663982.334128,25310,14.0
1717663983.9414897,25630,14.0
1717663985.5188441,25950,251.0
1717663987.0706797,26270,288.0
1717663988.6399071,26590,303.0
1717663990.234265,26910,348.0
1717663991.8326316,27230,348.0
1717663993.4289904,27550,348.0
1717663995.0288541,27870,348.0
1717663996.5967257,28190,348.0
1717663998.1896727,28510,258.0
1717663999.7520237,28830,217.0
1717664001.3463936,29150,217.0
1717664002.9469626,29470,258.0
1717664004.5603256,29790,277.0
1717664006.1519547,30110,350.0
1717664007.7477534,30430,192.0
1717664009.3336973,30750,192.0
1717664010.9280615,31070,263.0
1717664012.517419,31390,272.0
1717664014.1153216,31710,225.0
1717664015.7211866,32030,215.0
1717664017.3695576,32350,215.0
1717664019.0074303,32670,215.0
1717664020.634816,32990,350.0
1717664022.2741847,33310,211.0
1717664023.8767128,33630,266.0
1717664025.5289052,33950,216.0
1717664027.1631913,34270,216.0
1717664028.763551,34590,216.0
1717664030.3662946,34910,212.0
1717664032.0613818,35230,202.0
1717664033.6547549,35550,185.0
1717664035.3182611,35870,258.0
1717664036.9813254,36190,258.0
1717664038.6105182,36510,258.0
1717664040.2000477,36830,258.0
1717664041.8314145,37150,193.0
1717664043.4572868,37470,252.0
1717664045.0791707,37790,199.0
1717664046.7425447,38110,270.0
1717664048.3654144,38430,270.0
1717664049.9853537,38750,270.0
1717664051.5922718,39070,202.0
1717664053.1696265,39390,215.0
1717664054.7692814,39710,219.0
1717664056.3376582,40030,218.0
1717664057.9498637,40350,231.0
1717664059.5502234,40670,231.0
1717664061.1575985,40990,231.0
1717664062.7639725,41310,204.0
1717664064.3303237,41630,178.0
1717664068.0721364,42060,178.0
1717664070.1956136,42380,178.0
1717664072.3115938,42700,178.0
1717664074.4510834,43020,178.0
1717664076.733951,43340,159.0
1717664078.8905792,43660,191.0
