Wall time,Step,Value
1716968385.2974882,320,28.0
1716968386.5293636,640,6.0
1716968387.8227286,960,6.0
1716968389.093983,1280,5.0
1716968390.3347454,1600,6.0
1716968391.5848093,1920,30.0
1716968392.8503332,2240,5.0
1716968394.1368868,2560,6.0
1716968395.441042,2880,6.0
1716968398.8411021,3470,27.0
1716968400.0848174,3790,14.0
1716968401.3130612,4110,93.0
1716968402.5517426,4430,100.0
1716968403.812063,4750,22.0
1716968405.1003852,5070,26.0
1716968406.3467336,5390,23.0
1716968407.5853186,5710,88.0
1716968408.8355532,6030,72.0
1716968410.1084216,6350,19.0
1716968411.3513162,6670,100.0
1716968412.617704,6990,76.0
1716968413.8817222,7310,25.0
1716968415.1279855,7630,35.0
1716968418.3403096,8130,28.0
1716968419.7291799,8450,30.0
1716968421.1458106,8770,30.0
1716968424.4405913,9310,31.0
1716968425.7337306,9630,48.0
1716968427.016432,9950,30.0
1716968428.2887855,10270,18.0
1716968429.573774,10590,19.0
1716968430.8828256,10910,83.0
1716968432.1715987,11230,19.0
1716968433.4535787,11550,23.0
1716968434.742704,11870,13.0
1716968436.0448153,12190,29.0
1716968437.3462276,12510,28.0
1716968438.6645324,12830,21.0
1716968439.9632106,13150,31.0
1716968441.264257,13470,25.0
1716968442.5955093,13790,25.0
1716968443.9066617,14110,28.0
1716968447.5028164,14680,16.0
1716968448.9977837,15000,16.0
1716968450.7304301,15320,16.0
1716968452.195701,15640,16.0
1716968453.6331198,15960,16.0
1716968455.2827191,16280,16.0
1716968456.9048133,16600,220.0
1716968458.374795,16920,251.0
1716968459.8139176,17240,279.0
1716968461.2744312,17560,298.0
1716968462.7194831,17880,298.0
1716968464.141382,18200,298.0
1716968465.568049,18520,298.0
1716968466.9847953,18840,298.0
1716968468.3979585,19160,228.0
1716968469.8350644,19480,211.0
1716968471.2608435,19800,300.0
1716968472.719456,20120,300.0
1716968474.161931,20440,287.0
1716968475.5919297,20760,287.0
1716968477.0219862,21080,287.0
1716968478.4495122,21400,226.0
1716968479.8657727,21720,227.0
1716968481.3047495,22040,282.0
1716968482.74309,22360,214.0
1716968484.1567492,22680,214.0
1716968485.5994532,23000,214.0
1716968487.0262854,23320,193.0
1716968488.4403665,23640,193.0
1716968489.8750765,23960,200.0
1716968491.2996945,24280,220.0
1716968492.7356644,24600,230.0
1716968494.1635494,24920,177.0
1716968495.5896094,25240,177.0
1716968497.0239372,25560,224.0
1716968498.4592853,25880,224.0
1716968499.8884735,26200,234.0
1716968501.3297637,26520,203.0
1716968502.7694347,26840,208.0
1716968504.2253423,27160,300.0
1716968505.6912053,27480,300.0
1716968507.219835,27800,285.0
1716968508.7282305,28120,256.0
1716968510.1622806,28440,256.0
1716968511.590563,28760,255.0
1716968513.0157814,29080,245.0
1716968514.4524083,29400,269.0
1716968515.8868878,29720,272.0
1716968517.2980297,30040,272.0
1716968518.7264671,30360,241.0
1716968520.1563187,30680,241.0
1716968521.597938,31000,233.0
1716968523.042791,31320,242.0
1716968524.46809,31640,242.0
1716968525.8901973,31960,242.0
1716968527.3310173,32280,300.0
1716968528.7677805,32600,214.0
1716968530.1954088,32920,198.0
1716968531.6379402,33240,218.0
1716968533.1172547,33560,218.0
1716968534.5566845,33880,218.0
1716968535.9928615,34200,218.0
1716968537.422073,34520,221.0
1716968538.8600948,34840,237.0
1716968540.3389227,35160,198.0
1716968541.7861116,35480,220.0
1716968543.2208462,35800,258.0
1716968544.64843,36120,258.0
1716968546.067057,36440,258.0
1716968547.4950378,36760,223.0
1716968548.929086,37080,202.0
1716968550.3638916,37400,219.0
1716968551.7912512,37720,235.0
1716968553.2253408,38040,241.0
1716968554.6534574,38360,241.0
1716968556.0704973,38680,195.0
1716968557.4968853,39000,191.0
1716968558.9261818,39320,224.0
1716968560.3529992,39640,203.0
1716968561.793981,39960,217.0
1716968563.2400613,40280,300.0
1716968564.658432,40600,300.0
1716968569.8902729,41810,31.0
1716968572.9122674,42770,44.0
1716968575.9230213,43730,52.0
1716968578.9364138,44690,46.0
1716968582.038269,45650,34.0
1716968585.142799,46610,36.0
1716968588.2157185,47570,34.0
1716968591.2904491,48530,40.0
1716968594.431881,49490,41.0
1716968597.5817628,50450,44.0
1716968600.6503084,51410,36.0
1716968603.7701666,52370,35.0
1716968606.8131402,53330,40.0
1716968609.8906808,54290,41.0
1716968612.98821,55250,59.0
1716968616.0524461,56210,44.0
1716968619.152136,57170,47.0
1716968622.2151382,58130,46.0
1716968625.255479,59090,45.0
1716968632.6183498,60380,50.0
1716968637.7400773,61340,50.0
1716968642.9163518,62300,50.0
1716968648.0106316,63260,50.0
1716968653.175624,64220,50.0
1716968658.181405,65180,50.0
1716968663.0229254,66140,221.0
1716968667.632586,67100,252.0
1716968672.6237183,68060,287.0
1716968677.7638779,69020,287.0
1716968682.9466546,69980,287.0
1716968688.0760643,70940,377.0
1716968693.1939938,71900,377.0
1716968698.345807,72860,214.0
1716968703.3387165,73820,204.0
1716968708.1058955,74780,223.0
1716968713.0827587,75740,259.0
1716968717.9393194,76700,311.0
1716968722.8638134,77660,311.0
1716968727.7718446,78620,236.0
1716968732.8736725,79580,232.0
1716968737.8916543,80540,208.0
1716968742.8786902,81500,500.0
1716968748.0127542,82460,234.0
1716968753.0970967,83420,374.0
1716968758.3250847,84380,307.0
1716968763.5968285,85340,251.0
1716968768.6944747,86300,251.0
1716968773.787149,87260,234.0
1716968778.9053957,88220,225.0
1716968784.0919697,89180,234.0
1716968789.2342935,90140,234.0
1716968794.3799639,91100,238.0
1716968799.5412412,92060,219.0
1716968804.8485172,93020,219.0
1716968810.0247717,93980,219.0
1716968815.0394175,94940,265.0
1716968820.1717224,95900,228.0
1716968825.3029027,96860,242.0
1716968830.380242,97820,236.0
1716968835.5567944,98780,236.0
1716968840.6051552,99740,279.0
1716968845.6283715,100700,262.0
1716968850.5945961,101660,233.0
1716968855.5699208,102620,500.0
