Wall time,Step,Value
1717403344.5531402,1280,17.0
1717403350.6314654,2560,14.0
1717403362.3850193,4840,98.0
1717403368.371467,6120,100.0
1717403374.349966,7400,52.0
1717403380.33281,8680,52.0
1717403386.5071876,9960,92.0
1717403403.1552832,12750,55.0
1717403409.3231838,14030,24.0
1717403415.5571933,15310,37.0
1717403421.7845502,16590,14.0
1717403427.986976,17870,51.0
1717403434.2367258,19150,25.0
1717403440.4836571,20430,12.0
1717403446.7565868,21710,18.0
1717403453.0764017,22990,34.0
1717403459.3618166,24270,17.0
1717403469.2039883,25780,17.0
1717403476.7120266,27060,17.0
1717403484.1971972,28340,348.0
1717403491.6885052,29620,348.0
1717403499.2232602,30900,348.0
1717403506.755723,32180,350.0
1717403514.2847793,33460,350.0
1717403521.7852826,34740,350.0
1717403529.265001,36020,350.0
1717403536.7892182,37300,350.0
1717403544.4039822,38580,350.0
1717403551.8709006,39860,350.0
1717403559.4005792,41140,350.0
1717403566.9314651,42420,350.0
1717403574.4494414,43700,350.0
1717403581.8760886,44980,350.0
1717403589.4528039,46260,350.0
1717403597.105049,47540,350.0
1717403604.7530148,48820,350.0
1717403612.2990878,50100,350.0
1717403619.9158373,51380,343.0
1717403627.5484006,52660,350.0
1717403635.118892,53940,350.0
1717403642.6106048,55220,269.0
1717403650.1381288,56500,269.0
1717403657.6372478,57780,263.0
1717403665.1923053,59060,333.0
1717403672.7348287,60340,218.0
1717403680.2661467,61620,226.0
1717403687.8054748,62900,217.0
1717403695.3221865,64180,244.0
1717403702.8206944,65460,240.0
1717403710.3088388,66740,263.0
1717403717.7759807,68020,241.0
1717403734.6130462,70270,233.0
1717403744.6038587,71550,250.0
1717403754.6116831,72830,357.0
1717403764.505028,74110,398.0
1717403774.4733305,75390,400.0
1717403784.620623,76670,382.0
1717403794.7153249,77950,225.0
1717403804.6746945,79230,278.0
1717403814.6701734,80510,248.0
1717403824.6646686,81790,229.0
1717403834.7859747,83070,400.0
1717403844.7660604,84350,243.0
1717403855.0085433,85630,247.0
1717403865.5370111,86910,400.0
1717403875.6738348,88190,304.0
1717403885.6644237,89470,209.0
1717403895.7119744,90750,251.0
1717403905.6639986,92030,239.0
1717403915.664972,93310,238.0
1717403925.6253755,94590,400.0
1717403935.6273253,95870,400.0
1717403945.6461504,97150,400.0
1717403955.6246843,98430,400.0
1717403965.5483124,99710,400.0
1717403975.5197048,100990,400.0
1717403985.516359,102270,400.0
1717403995.76856,103550,400.0
1717404005.9113538,104830,400.0
1717404015.8219502,106110,400.0
1717404025.8276536,107390,400.0
1717404035.7272842,108670,400.0
1717404045.6267672,109950,400.0
1717404055.6747766,111230,400.0
1717404065.679057,112510,400.0
1717404075.555325,113790,400.0
1717404085.484058,115070,400.0
1717404095.3719704,116350,400.0
1717404105.3262424,117630,400.0
1717404115.2113304,118910,400.0
1717404125.0928185,120190,400.0
1717404135.0586164,121470,400.0
1717404144.9783058,122750,400.0
1717404154.8875759,124030,400.0
1717404164.900165,125310,400.0
1717404174.7892516,126590,400.0
