Wall time,Step,Value
1717409064.6439612,640,5.0
1717409067.5086052,1280,24.0
1717409070.3632715,1920,13.0
1717409075.0703373,2730,13.0
1717409077.8825345,3370,100.0
1717409080.7057526,4010,28.0
1717409083.5480673,4650,25.0
1717409086.4016836,5290,41.0
1717409091.941929,6160,30.0
1717409098.7159824,7340,47.0
1717409101.642688,7980,91.0
1717409104.5630722,8620,89.0
1717409107.5162337,9260,31.0
1717409110.4694145,9900,38.0
1717409113.4450943,10540,33.0
1717409116.4422739,11180,15.0
1717409119.3846614,11820,46.0
1717409122.3180752,12460,18.0
1717409125.2603698,13100,100.0
1717409128.1800265,13740,68.0
1717409131.1298525,14380,16.0
1717409134.103536,15020,18.0
1717409137.1397238,15660,46.0
1717409140.1454132,16300,16.0
1717409143.1196418,16940,40.0
1717409146.1237462,17580,28.0
1717409149.1210399,18220,22.0
1717409152.1602516,18860,28.0
1717409155.18794,19500,25.0
1717409161.5557523,20500,20.0
1717409165.1430185,21140,20.0
1717409168.705006,21780,20.0
1717409172.2791393,22420,20.0
1717409175.8229492,23060,20.0
1717409179.386254,23700,348.0
1717409183.0067058,24340,348.0
1717409186.6375625,24980,348.0
1717409190.259862,25620,348.0
1717409193.823663,26260,348.0
1717409197.4209764,26900,350.0
1717409200.989779,27540,350.0
1717409204.5375857,28180,350.0
1717409208.07488,28820,350.0
1717409211.6362395,29460,259.0
1717409215.209027,30100,306.0
1717409218.7740307,30740,350.0
1717409222.3758552,31380,350.0
1717409225.9061525,32020,254.0
1717409229.4214478,32660,229.0
1717409232.994264,33300,289.0
1717409236.5774684,33940,350.0
1717409240.1298578,34580,233.0
1717409243.6735797,35220,233.0
1717409247.2393837,35860,267.0
1717409250.813806,36500,258.0
1717409254.3856099,37140,241.0
1717409257.964584,37780,204.0
1717409261.5328193,38420,277.0
1717409265.1229806,39060,350.0
1717409268.7030034,39700,350.0
1717409272.3209965,40340,227.0
1717409275.8946073,40980,281.0
1717409279.4989338,41620,210.0
1717409283.094246,42260,215.0
1717409286.7079573,42900,217.0
1717409290.2766004,43540,241.0
1717409293.8784122,44180,214.0
1717409297.447228,44820,210.0
1717409301.0820513,45460,263.0
1717409304.6626422,46100,248.0
1717409308.3349657,46740,217.0
1717409311.9080112,47380,245.0
1717409315.4953203,48020,210.0
1717409319.1482043,48660,229.0
1717409322.8315372,49300,223.0
1717409326.4296887,49940,256.0
1717409330.0209432,50580,350.0
1717409333.62227,51220,350.0
1717409337.239589,51860,297.0
1717409340.8449047,52500,255.0
1717409344.5152586,53140,240.0
1717409348.1675336,53780,231.0
1717409351.7695334,54420,228.0
1717409355.3388407,55060,227.0
1717409358.9001458,55700,173.0
1717409362.466453,56340,274.0
1717409366.0372236,56980,330.0
1717409369.616142,57620,225.0
1717409373.2059448,58260,238.0
1717409376.7990677,58900,215.0
1717409380.4080298,59540,201.0
1717409384.0158515,60180,257.0
1717409387.5987222,60820,210.0
1717409391.1629715,61460,224.0
1717409394.7595215,62100,281.0
1717409398.3333364,62740,209.0
1717409401.9131513,63380,197.0
1717409405.4994729,64020,219.0
1717409409.0833774,64660,204.0
1717409412.6889443,65300,242.0
1717409416.2366142,65940,213.0
1717409419.811431,66580,249.0
1717409423.4017537,67220,211.0
1717409426.973567,67860,229.0
1717409430.5599127,68500,200.0
1717409438.765314,69550,205.0
1717409443.5279026,70190,205.0
1717409448.186082,70830,183.0
1717409452.900033,71470,238.0
1717409457.6988764,72110,301.0
1717409462.4839733,72750,301.0
1717409467.2435744,73390,259.0
1717409471.980879,74030,210.0
1717409476.7209523,74670,318.0
1717409481.4690204,75310,184.0
1717409486.2070856,75950,193.0
1717409490.9656615,76590,243.0
1717409495.7287858,77230,199.0
1717409500.4788685,77870,196.0
1717409505.255698,78510,177.0
1717409510.0197694,79150,176.0
1717409514.7802396,79790,186.0
1717409519.5706935,80430,164.0
1717409524.362771,81070,207.0
1717409529.1423676,81710,215.0
1717409533.9211426,82350,159.0
1717409538.7015276,82990,257.0
1717409543.4506402,83630,172.0
1717409548.1757166,84270,206.0
1717409552.9121704,84910,191.0
1717409557.6498663,85550,400.0
1717409562.398659,86190,400.0
1717409567.1717443,86830,182.0
1717409572.0103476,87470,315.0
1717409576.771021,88110,252.0
1717409581.5597167,88750,249.0
1717409586.3292603,89390,186.0
1717409591.0953324,90030,186.0
1717409595.8426065,90670,253.0
1717409600.6498291,91310,278.0
1717409605.440096,91950,278.0
1717409610.2141695,92590,227.0
1717409615.0322816,93230,213.0
1717409625.8809109,95460,62.0
1717409633.316074,97380,97.0
1717409640.7043304,99300,128.0
1717409648.1464758,101220,57.0
1717409655.573649,103140,150.0
1717409662.9133754,105060,49.0
1717409670.3488421,106980,55.0
1717409677.7730658,108900,138.0
1717409685.334494,110820,64.0
1717409692.944121,112740,115.0
1717409700.601843,114660,44.0
1717409707.9757812,116580,53.0
1717409715.3145924,118500,116.0
1717409722.8736856,120420,150.0
1717409730.159125,122340,115.0
1717409737.674802,124260,94.0
1717409745.1935284,126180,150.0
1717409752.6462545,128100,150.0
1717409760.04496,130020,82.0
1717409767.50265,131940,150.0
1717409774.8883376,133860,150.0
1717409782.3401856,135780,128.0
1717409789.691867,137700,133.0
1717409796.9951942,139620,150.0
1717409804.4737904,141540,61.0
1717409811.9234881,143460,57.0
1717409819.3564827,145380,108.0
1717409836.872357,149970,61.0
1717409850.479594,153810,59.0
1717409864.0534527,157650,67.0
1717409877.5595582,161490,77.0
1717409891.0418944,165330,63.0
1717409904.4325354,169170,77.0
1717409917.7927704,173010,55.0
1717409935.4044347,177190,62.0
1717409946.1412673,179750,56.0
1717409956.7279768,182310,70.0
1717409991.204705,189710,71.0
1717410012.9099984,194830,125.0
1717410036.3365781,199950,143.0
1717410059.0403697,205070,117.0
1717410081.6312385,210190,94.0
1717410104.313977,215310,88.0
1717410128.0355072,221390,88.0
1717410143.890339,226510,114.0
1717410162.375896,231630,148.0
1717410180.0518873,236750,106.0
1717410198.4989178,241870,140.0
1717410216.208534,246990,144.0
1717410234.3914816,252110,112.0
1717410253.0519588,257230,103.0
1717410271.2813754,262350,87.0
1717410289.6621976,267470,74.0
1717410308.147525,272590,69.0
1717410326.5626276,277710,75.0
1717410366.8490384,284734,64.0
1717410402.0210834,290878,54.0
1717410437.0003786,297022,70.0
1717410472.0020988,303166,21.0
1717410507.36335,309310,55.0
1717410542.2174184,315454,70.0
1717410577.0984669,321598,30.0
1717410612.0416758,327742,63.0
1717410646.8481503,333886,76.0
1717410682.0254683,340030,59.0
1717410716.6815765,346174,30.0
1717410751.2521715,352318,71.0
1717410786.1774902,358462,58.0
1717410821.0871005,364606,58.0
1717410855.574716,370750,75.0
1717410889.9554994,376894,30.0
1717410924.5665884,383038,17.0
1717410958.763783,389182,50.0
1717410993.2925854,395326,53.0
1717411027.475763,401470,83.0
1717411061.2277458,407614,71.0
1717411095.6754754,413758,30.0
1717411130.159041,419902,30.0
1717411164.7400627,426046,55.0
1717411199.3030052,432190,57.0
1717411234.008096,438334,58.0
1717411268.6428235,444478,63.0
1717411303.4768212,450622,25.0
1717411338.152596,456766,56.0
1717411372.9731636,462910,30.0
1717411408.097751,469054,57.0
1717411442.3025901,475198,59.0
1717411476.4683936,481342,59.0
