Wall time,Step,Value
1718031554.1716063,320,12.0
1718031555.4565263,640,6.0
1718031556.768438,960,7.0
1718031558.1067615,1280,8.0
1718031559.381587,1600,19.0
1718031560.672054,1920,6.0
1718031562.2014427,2240,30.0
1718031563.5173085,2560,30.0
1718031564.893628,2880,5.0
1718031566.2444444,3200,9.0
1718031567.5413554,3520,8.0
1718031568.9686773,3840,9.0
1718031570.3035622,4160,20.0
1718031571.6808736,4480,12.0
1718031573.0387154,4800,29.0
1718031574.4185503,5120,6.0
1718031578.151755,5730,31.0
1718031579.4399273,6050,24.0
1718031580.6976783,6370,48.0
1718031582.0276058,6690,26.0
1718031583.3385,7010,12.0
1718031586.7247715,7480,28.0
1718031588.2781236,7800,30.0
1718031589.8417494,8120,30.0
1718031593.4267464,8660,26.0
1718031594.7910712,8980,30.0
1718031596.180365,9300,59.0
1718031597.5715015,9620,1.0
1718031598.9433196,9940,23.0
1718031600.4456592,10260,18.0
1718031601.8625457,10580,100.0
1718031603.2878826,10900,19.0
1718031604.7648103,11220,41.0
1718031606.1451225,11540,31.0
1718031607.6764696,11860,16.0
1718031609.1638052,12180,15.0
1718031610.5936327,12500,14.0
1718031612.030991,12820,44.0
1718031613.4746363,13140,25.0
1718031614.8605292,13460,14.0
1718031616.2477198,13780,36.0
1718031617.6307526,14100,87.0
1718031619.0465162,14420,14.0
1718031620.4828503,14740,21.0
1718031621.8836074,15060,28.0
1718031623.3074865,15380,15.0
1718031624.7518134,15700,18.0
1718031626.1506445,16020,20.0
1718031627.5579636,16340,16.0
1718031628.986286,16660,22.0
1718031630.411618,16980,19.0
1718031631.8559458,17300,32.0
1718031633.2862687,17620,36.0
1718031634.7445803,17940,15.0
1718031636.1456065,18260,33.0
1718031637.6099377,18580,12.0
1718031639.0362635,18900,19.0
1718031640.4698296,19220,25.0
1718031641.8806367,19540,38.0
1718031643.312969,19860,22.0
1718031644.7457995,20180,16.0
1718031646.1836398,20500,19.0
1718031649.1745872,20860,16.0
1718031650.8599668,21180,16.0
1718031652.5273724,21500,16.0
1718031654.1707447,21820,16.0
1718031655.811573,22140,16.0
1718031657.4909537,22460,16.0
1718031659.177838,22780,217.0
1718031660.840718,23100,217.0
1718031662.4890904,23420,283.0
1718031664.117459,23740,312.0
1718031665.746547,24060,348.0
1718031667.4214282,24380,348.0
1718031669.152832,24700,348.0
1718031670.828221,25020,348.0
1718031672.502717,25340,348.0
1718031674.1267185,25660,348.0
1718031675.7418408,25980,348.0
1718031677.3612072,26300,350.0
1718031679.0670965,26620,323.0
1718031680.7405946,26940,323.0
1718031682.419974,27260,323.0
1718031684.0893524,27580,350.0
1718031685.734724,27900,350.0
1718031687.369094,28220,350.0
1718031689.0189857,28540,350.0
1718031690.7018812,28860,248.0
1718031692.3783243,29180,258.0
1718031694.0487106,29500,308.0
1718031695.7106018,29820,296.0
1718031697.3713362,30140,350.0
1718031699.0007045,30460,350.0
1718031700.671229,30780,334.0
1718031702.3221586,31100,334.0
1718031703.9662383,31420,239.0
1718031705.6306555,31740,281.0
1718031707.2912846,32060,249.0
1718031709.0202076,32380,350.0
1718031710.6665072,32700,350.0
1718031712.4319057,33020,299.0
1718031714.0872808,33340,299.0
1718031715.8819115,33660,217.0
1718031717.5643072,33980,251.0
1718031719.2646925,34300,221.0
1718031720.898532,34620,258.0
1718031722.5789118,34940,267.0
1718031724.2347913,35260,267.0
1718031725.9046085,35580,202.0
1718031727.598726,35900,245.0
1718031729.274106,36220,198.0
1718031730.9179611,36540,244.0
1718031732.576148,36860,220.0
1718031734.2355397,37180,220.0
1718031735.9009264,37500,217.0
1718031737.538801,37820,176.0
1718031739.19782,38140,222.0
1718031740.8365982,38460,179.0
1718031742.4823549,38780,215.0
1718031744.1116254,39100,216.0
1718031745.901073,39420,208.0
1718031747.5846834,39740,205.0
1718031752.0420606,40240,205.0
1718031754.2885897,40560,205.0
1718031756.5768058,40880,205.0
1718031758.8478265,41200,205.0
1718031761.1133394,41520,205.0
1718031763.323891,41840,192.0
1718031765.5503933,42160,192.0
1718031767.8409278,42480,253.0
1718031770.164959,42800,270.0
1718031772.4330087,43120,298.0
1718031774.6506033,43440,338.0
1718031776.8998578,43760,176.0
1718031779.1718369,44080,180.0
1718031781.3716276,44400,180.0
1718031783.5776722,44720,209.0
1718031785.7371755,45040,248.0
1718031787.8920803,45360,236.0
1718031790.1429453,45680,166.0
1718031792.4074664,46000,197.0
1718031794.626472,46320,221.0
1718031796.8275425,46640,163.0
1718031799.012543,46960,163.0
1718031801.2730544,47280,172.0
1718031803.500552,47600,400.0
1718031805.696782,47920,192.0
1718031807.8857815,48240,201.0
1718031810.0669925,48560,201.0
1718031812.3445148,48880,180.0
1718031814.5691252,49200,189.0
1718031816.7771277,49520,288.0
1718031818.970129,49840,162.0
1718031821.2836545,50160,267.0
1718031823.542669,50480,188.0
1718031825.8306222,50800,186.0
1718031828.0271332,51120,212.0
1718031830.243141,51440,212.0
1718031832.5776844,51760,190.0
1718031834.870971,52080,228.0
1718031837.1279867,52400,188.0
1718031839.454016,52720,187.0
1718031841.7970026,53040,183.0
1718031844.084574,53360,215.0
1718031846.3110776,53680,173.0
1718031848.5425014,54000,180.0
1718031850.9360435,54320,180.0
1718031853.1545453,54640,204.0
1718031855.4010532,54960,204.0
1718031857.8046818,55280,239.0
1718031860.0431886,55600,230.0
1718031862.253775,55920,208.0
1718031864.4969354,56240,400.0
1718031866.7571008,56560,400.0
1718031868.9876056,56880,213.0
1718031871.191114,57200,189.0
1718031873.3961413,57520,201.0
1718031875.6811626,57840,167.0
1718031877.9171734,58160,167.0
1718031880.1379943,58480,164.0
1718031882.348,58800,190.0
1718031884.5427487,59120,190.0
1718031886.7761798,59440,272.0
1718031889.004739,59760,400.0
1718031891.323754,60080,400.0
1718031893.5447717,60400,219.0
1718031895.7965715,60720,219.0
1718031898.1230965,61040,224.0
1718031900.3571105,61360,400.0
1718031902.5351126,61680,234.0
1718031904.7430518,62000,189.0
1718031906.9115505,62320,189.0
1718031909.1490662,62640,220.0
1718031911.4140823,62960,190.0
1718031913.6121001,63280,206.0
1718031915.7830133,63600,204.0
1718031918.003957,63920,192.0
1718031920.2741299,64240,228.0
1718031922.5400486,64560,199.0
1718031924.7289634,64880,211.0
1718031926.9149625,65200,254.0
1718031929.1510253,65520,200.0
1718031931.3851118,65840,176.0
1718031933.630185,66160,203.0
1718031935.8598802,66480,271.0
1718031938.0361314,66800,219.0
1718031940.2801611,67120,244.0
1718031942.5626953,67440,212.0
1718031944.910226,67760,233.0
1718031947.1501825,68080,227.0
1718031949.4242015,68400,187.0
1718031951.7090628,68720,170.0
1718031953.997781,69040,181.0
1718031956.2068014,69360,181.0
1718031958.3929162,69680,220.0
1718031960.5934296,70000,186.0
1718031962.8370347,70320,186.0
1718031965.127894,70640,195.0
1718031967.3162165,70960,195.0
1718031969.4967268,71280,195.0
1718031971.7112272,71600,188.0
1718031973.9457436,71920,213.0
1718031976.1740458,72240,172.0
1718031978.3669343,72560,203.0
1718031980.531439,72880,220.0
1718031982.740939,73200,220.0
1718031984.9749484,73520,220.0
1718031987.2293952,73840,400.0
1718031989.3991017,74160,233.0
1718031991.620011,74480,185.0
1718031993.875524,74800,250.0
1718031996.238056,75120,250.0
1718031998.5180779,75440,295.0
1718032000.7905924,75760,173.0
1718032002.9750867,76080,206.0
1718032005.3121843,76400,167.0
1718032007.6213038,76720,167.0
1718032009.8694313,77040,209.0
1718032012.0530431,77360,209.0
1718032014.2730525,77680,218.0
1718032016.6116037,78000,327.0
1718032018.8386447,78320,204.0
1718032021.0601645,78640,204.0
1718032023.2582057,78960,191.0
1718032025.441698,79280,400.0
1718032027.6892204,79600,216.0
1718032029.9472365,79920,216.0
1718032032.2092533,80240,400.0
1718032034.5041742,80560,400.0
1718032036.7153485,80880,210.0
