Wall time,Step,Value
1718293616.6620376,320,9.0
1718293618.0608494,640,6.0
1718293619.4756815,960,6.0
1718293620.890952,1280,30.0
1718293622.293268,1600,30.0
1718293623.6985834,1920,30.0
1718293625.1519215,2240,30.0
1718293626.5867474,2560,30.0
1718293628.042075,2880,6.0
1718293629.496402,3200,8.0
1718293630.915684,3520,6.0
1718293632.3326108,3840,7.0
1718293633.7486873,4160,6.0
1718293635.1963758,4480,5.0
1718293636.6169927,4800,7.0
1718293638.3623881,5120,7.0
1718293640.1497197,5440,10.0
1718293641.6041088,5760,5.0
1718293643.0854416,6080,6.0
1718293644.538768,6400,14.0
1718293646.055125,6720,4.0
1718293649.4169064,7220,26.0
1718293650.8372254,7540,19.0
1718293652.2355516,7860,58.0
1718293653.6334543,8180,1.0
1718293655.235936,8500,42.0
1718293656.664157,8820,100.0
1718293658.0821524,9140,53.0
1718293659.642405,9460,18.0
1718293661.1865416,9780,43.0
1718293662.5898716,10100,39.0
1718293664.0652027,10420,57.0
1718293665.4550197,10740,49.0
1718293666.8353302,11060,19.0
1718293668.230644,11380,30.0
1718293669.6305726,11700,13.0
1718293671.0323346,12020,15.0
1718293672.436539,12340,33.0
1718293673.8483787,12660,48.0
1718293676.7575529,12990,28.0
1718293678.4340053,13310,30.0
1718293680.1038842,13630,30.0
1718293683.8262255,14170,30.0
1718293685.2745507,14490,19.0
1718293686.7348795,14810,26.0
1718293688.202209,15130,18.0
1718293689.6532695,15450,60.0
1718293691.1296139,15770,21.0
1718293692.5856721,16090,20.0
1718293694.0763898,16410,20.0
1718293695.7448559,16730,33.0
1718293697.1819913,17050,42.0
1718293698.5788877,17370,47.0
1718293699.9852104,17690,31.0
1718293701.4255342,18010,21.0
1718293702.8443575,18330,25.0
1718293706.753741,18890,32.0
1718293708.4666817,19210,32.0
1718293710.1914065,19530,32.0
1718293711.888874,19850,32.0
1718293713.6048582,20170,32.0
1718293715.342272,20490,32.0
1718293717.0436547,20810,32.0
1718293718.7690513,21130,238.0
1718293720.4694338,21450,269.0
1718293722.1898417,21770,319.0
1718293723.91764,22090,348.0
1718293725.671449,22410,348.0
1718293727.432411,22730,348.0
1718293729.164939,23050,348.0
1718293730.9328196,23370,215.0
1718293732.6629303,23690,215.0
1718293734.3768191,24010,215.0
1718293736.0812106,24330,250.0
1718293737.8212614,24650,266.0
1718293739.5601823,24970,268.0
1718293741.3069155,25290,350.0
1718293743.0537589,25610,350.0
1718293744.7849758,25930,350.0
1718293746.5149834,26250,350.0
1718293748.2288845,26570,344.0
1718293749.9362617,26890,223.0
1718293751.6746523,27210,267.0
1718293753.3910384,27530,267.0
1718293755.1024227,27850,249.0
1718293756.8338125,28170,276.0
1718293758.5331945,28490,277.0
1718293760.2535813,28810,223.0
1718293761.9724607,29130,223.0
1718293763.6896505,29450,259.0
1718293765.4187405,29770,268.0
1718293767.1429195,30090,350.0
1718293768.8662896,30410,228.0
1718293770.5985096,30730,228.0
1718293772.3454072,31050,320.0
1718293774.0743146,31370,314.0
1718293775.7942052,31690,314.0
1718293777.5096066,32010,252.0
1718293779.2404418,32330,252.0
1718293780.9663725,32650,259.0
1718293782.6803262,32970,276.0
1718293784.3989136,33290,291.0
1718293786.155332,33610,270.0
1718293787.8687172,33930,270.0
1718293789.628454,34250,232.0
1718293791.3898604,34570,232.0
1718293793.131263,34890,232.0
1718293794.859651,35210,265.0
1718293796.570047,35530,265.0
1718293798.3025036,35850,285.0
1718293800.0594082,36170,264.0
1718293801.7834647,36490,274.0
1718293803.534961,36810,270.0
1718293805.2903655,37130,330.0
1718293807.0377684,37450,226.0
1718293809.0307205,37770,272.0
1718293810.8551307,38090,272.0
1718293812.7065563,38410,248.0
1718293814.5684357,38730,206.0
1718293816.5167875,39050,206.0
1718293818.2768872,39370,226.0
1718293820.006379,39690,220.0
1718293821.749884,40010,220.0
1718293823.5142486,40330,180.0
1718293825.2651458,40650,212.0
1718293827.0100532,40970,212.0
1718293828.7609546,41290,241.0
1718293830.5143576,41610,241.0
1718293832.2807689,41930,231.0
1718293834.0275207,42250,231.0
1718293835.8262694,42570,230.0
1718293837.5962436,42890,230.0
1718293839.3449934,43210,246.0
1718293841.0483918,43530,246.0
1718293842.7842872,43850,200.0
1718293844.511675,44170,207.0
1718293846.2455707,44490,207.0
1718293847.9724634,44810,249.0
1718293849.6918583,45130,215.0
1718293851.420254,45450,327.0
1718293853.2261527,45770,257.0
1718293854.9835703,46090,223.0
1718293856.7320547,46410,172.0
1718293858.467467,46730,172.0
1718293860.1882775,47050,172.0
1718293861.911677,47370,234.0
1718293865.9890985,47800,254.0
1718293868.338627,48120,254.0
1718293870.706859,48440,254.0
1718293873.097873,48760,254.0
1718293875.5217009,49080,254.0
1718293877.9167433,49400,189.0
1718293880.332286,49720,219.0
1718293882.7353315,50040,234.0
1718293885.2183192,50360,234.0
1718293887.7348554,50680,234.0
1718293890.3220494,51000,234.0
1718293892.8264651,51320,161.0
