Wall time,Step,Value
1717398684.1849208,320,12.0
1717398685.6842694,640,5.0
1717398687.1981137,960,30.0
1717398688.738151,1280,14.0
1717398690.2595038,1600,30.0
1717398691.8398597,1920,6.0
1717398695.5391154,2460,12.0
1717398697.0409102,2780,51.0
1717398698.7692993,3100,45.0
1717398700.3293197,3420,29.0
1717398701.8666651,3740,29.0
1717398703.368018,4060,75.0
1717398704.9038675,4380,24.0
1717398706.4512155,4700,24.0
1717398708.0080748,5020,62.0
1717398709.5159144,5340,49.0
1717398711.077266,5660,75.0
1717398712.5824616,5980,80.0
1717398714.0797982,6300,36.0
1717398715.6001277,6620,94.0
1717398717.1234894,6940,14.0
1717398720.1622446,7270,28.0
1717398721.9316456,7590,30.0
1717398723.7340505,7910,30.0
1717398727.656437,8450,30.0
1717398729.2137873,8770,60.0
1717398730.7591355,9090,86.0
1717398732.3084834,9410,51.0
1717398733.864848,9730,100.0
1717398735.42721,10050,93.0
1717398737.0295832,10370,31.0
1717398738.5899339,10690,14.0
1717398740.1515827,11010,42.0
1717398741.724145,11330,75.0
1717398743.3131053,11650,51.0
1717398744.956475,11970,75.0
1717398746.562405,12290,23.0
1717398748.135759,12610,100.0
1717398749.7326255,12930,40.0
1717398751.328508,13250,17.0
1717398752.9018745,13570,30.0
1717398754.479232,13890,73.0
1717398756.0545864,14210,17.0
1717398757.640943,14530,18.0
1717398759.2138026,14850,49.0
1717398760.8181975,15170,18.0
1717398762.404146,15490,16.0
1717398764.0029442,15810,35.0
1717398765.6111062,16130,16.0
1717398767.212163,16450,46.0
1717398768.796022,16770,22.0
1717398772.3068137,17180,15.0
1717398774.2307506,17500,15.0
1717398776.105904,17820,15.0
1717398778.0213342,18140,15.0
1717398779.8907552,18460,15.0
1717398781.744709,18780,15.0
1717398783.6080477,19100,15.0
1717398785.473014,19420,253.0
1717398787.350242,19740,280.0
1717398789.2406669,20060,315.0
1717398791.1280916,20380,348.0
1717398793.006527,20700,348.0
1717398794.895852,21020,348.0
1717398796.784289,21340,348.0
1717398798.6592143,21660,199.0
1717398800.5526404,21980,199.0
1717398802.409612,22300,222.0
1717398804.2760973,22620,311.0
1717398806.1468256,22940,350.0
1717398808.0272484,23260,350.0
1717398809.9110942,23580,350.0
1717398811.8152177,23900,332.0
1717398813.7076435,24220,332.0
1717398815.6000686,24540,215.0
1717398817.468994,24860,215.0
1717398819.356426,25180,242.0
1717398821.2378488,25500,264.0
1717398823.1382887,25820,282.0
1717398825.0287557,26140,282.0
1717398826.9046326,26460,350.0
1717398828.8195415,26780,350.0
1717398830.7092097,27100,350.0
1717398832.5976462,27420,251.0
1717398834.4991286,27740,234.0
1717398836.3705518,28060,350.0
1717398838.2429726,28380,350.0
1717398840.1464005,28700,350.0
1717398842.04383,29020,350.0
1717398843.9162512,29340,350.0
1717398845.8016927,29660,285.0
1717398847.6961308,29980,350.0
1717398849.6035674,30300,281.0
1717398851.4899285,30620,267.0
1717398853.3779318,30940,230.0
1717398855.2688286,31260,230.0
1717398857.1492598,31580,260.0
1717398859.0250964,31900,260.0
1717398860.9091246,32220,223.0
1717398862.791133,32540,296.0
1717398864.6675663,32860,296.0
1717398866.5589914,33180,296.0
1717398868.4924264,33500,281.0
1717398870.3728766,33820,269.0
1717398872.2803144,34140,279.0
1717398874.1702447,34460,279.0
1717398876.0547175,34780,232.0
1717398877.9490955,35100,250.0
1717398879.8518465,35420,223.0
1717398881.7452724,35740,266.0
1717398883.6390529,36060,262.0
1717398885.5341022,36380,224.0
1717398887.4412603,36700,296.0
1717398889.3467119,37020,281.0
1717398891.2371366,37340,238.0
1717398893.1285622,37660,238.0
1717398895.0375135,37980,238.0
1717398896.9299405,38300,252.0
1717398898.8483717,38620,238.0
1717398900.7398062,38940,238.0
1717398902.6176543,39260,253.0
1717398904.5175533,39580,214.0
1717398906.3988028,39900,214.0
1717398908.2792253,40220,214.0
1717398910.1630645,40540,214.0
1717398912.0455053,40860,252.0
1717398913.9339302,41180,237.0
1717398915.8058543,41500,310.0
1717398917.6987846,41820,244.0
1717398919.593716,42140,254.0
1717398921.484141,42460,254.0
1717398923.4045732,42780,214.0
1717398925.2854488,43100,214.0
1717398927.1749454,43420,214.0
1717398929.0610912,43740,276.0
1717398930.945515,44060,251.0
1717398932.8549578,44380,228.0
1717398934.7378914,44700,228.0
1717398936.6103122,45020,228.0
1717398938.4917352,45340,257.0
1717398940.3501532,45660,257.0
1717398942.237082,45980,214.0
1717398944.1160076,46300,254.0
1717398945.9924402,46620,241.0
1717398947.9053288,46940,268.0
1717398949.7807498,47260,297.0
1717398951.679715,47580,350.0
1717398953.5946498,47900,350.0
1717398955.4900708,48220,262.0
1717398957.397503,48540,329.0
1717398959.344941,48860,329.0
1717398961.2258828,49180,305.0
1717398963.1398175,49500,289.0
1717398965.0287473,49820,289.0
1717398966.9246776,50140,252.0
1717398968.8066964,50460,252.0
1717398970.7015102,50780,285.0
1717398972.6349447,51100,272.0
1717398974.5438786,51420,200.0
1717398976.439305,51740,232.0
1717398978.3367324,52060,209.0
1717398980.2381403,52380,269.0
1717398982.1535814,52700,244.0
1717398984.0650117,53020,244.0
1717398985.953827,53340,248.0
1717398987.8282483,53660,258.0
