#{"t_start": 1715871075.3273458, "env_id": "None"}
r,l,t
5.9816,32,6.825816
2.9866016,32,6.825816
5.9965,33,8.221312
3.9915016,33,8.221312
4.9865,33,8.221312
3.9865015,33,8.221312
3.9864018,34,8.432803
4.9863,35,8.641512
2.896402,35,8.641512
1.9766985,33,16.28524
4.9817996,33,16.478083
5.9718,34,16.673851
0.9066001,34,16.673851
5.9168,34,16.673851
0.9966984,34,16.892158
3.4917014,34,17.103961
-3.0088022,38,17.321844
-1.0386,74,18.170799
4.9568996,31,24.392161
0.8368007,32,24.392161
3.9767017,33,25.019022
0.9666983,33,25.458129
5.9818,34,25.458129
-0.02350235,36,25.680535
3.9665015,35,26.125782
3.9164014,73,26.789
3.9916017,34,26.789
-0.09820019,32,32.862645
-8.013401,34,33.286622
2.9968016,32,33.928143
3.9918015,32,34.141554
3.9168012,34,34.362417
2.946801,32,34.589293
-2.0236006,72,35.032262
5.9918,32,35.261008
3.9316018,35,35.924961
4.9219,31,41.589846
3.4819012,33,41.589846
0.97659874,66,42.456966
2.9819012,33,42.67892
4.9017997,32,42.67892
5.9819,33,43.116948
1.9865981,34,43.563739
2.4916017,34,44.008388
0.9314991,35,44.455069
4.8968997,32,44.455069
1.9218007,32,50.156034
1.9866986,36,51.015521
5.9968,32,51.230538
2.4467015,34,51.650003
0.986498,35,51.650003
5.8918,33,51.856765
3.9968016,32,52.079825
-5.058301,34,52.952654
3.921801,33,53.177442
2.9467006,53,58.817004
4.9768,34,58.817004
4.9967995,33,59.43103
2.4518008,32,59.846107
1.9416003,35,60.060512
4.9867997,32,60.267009
4.9417996,34,60.485801
-0.0033011436,36,60.704052
2.4916017,34,61.58988
5.9968,33,61.58988
0.9217001,33,67.34832
3.9716017,34,68.171734
2.986602,34,68.76721
4.9968,32,68.97096
0.9763981,36,68.97096
2.986502,35,69.389495
5.9863,37,69.607725
4.9817996,32,69.818591
-0.12329912,34,70.250549
3.8718016,32,75.415879
4.9968,32,76.241005
4.4866996,33,77.044263
4.9916997,34,77.450362
3.9867017,35,78.064825
2.9967012,78,78.064825
-1.0933999,34,78.286185
-1.018802,38,78.286185
5.9918,36,78.501534
2.9666014,34,78.719939
4.9967,33,83.686157
2.9866018,35,84.971962
1.9866987,33,85.389166
5.4968,32,86.39403
1.9966985,33,86.39403
2.9617007,38,86.81072
3.9918015,35,86.81072
2.9267015,33,86.81072
5.9618,32,86.81072
3.4317017,36,87.249935
0.45670047,33,91.990995
4.9614997,35,93.682313
2.9716017,34,93.900124
4.9967,33,94.717275
2.9917018,34,94.927268
3.9918015,33,95.143829
4.9167,35,95.562286
4.9916997,33,95.562286
0.9914975,38,96.20518
4.8868,32,100.020472
1.9915982,34,102.11926
3.9517019,33,102.11926
3.9216015,34,103.344555
3.9367006,36,103.561935
-7.053302,68,103.765258
2.981602,34,103.982564
3.9865015,36,103.982564
4.9416,34,103.982564
3.9917016,33,104.417128
4.9467998,32,108.170739
5.4217997,33,110.55314
3.996502,35,111.007236
4.9767,33,112.249726
0.9914981,35,112.45807
5.9967,36,112.459072
-3.0382004,33,112.459072
5.8918,34,112.681053
1.9814984,35,112.897257
3.9866018,34,113.122017
3.9865022,35,117.027816
-0.008702142,37,119.95687
0.9612986,37,120.376889
4.4467,33,121.006936
5.9518,34,121.222263
0.9917979,35,121.222263
3.9867015,33,121.222263
0.981598,34,121.871321
1.9314018,36,123.372466
1.9966984,34,125.730095
1.9716988,35,128.709092
3.9418008,33,128.709092
5.9467998,32,129.32984
1.9016005,34,129.546924
4.9967,33,129.546924
3.9868014,67,129.546924
4.9817996,34,131.721134
5.9368,33,131.721134
4.9867997,32,133.883095
4.9817,33,137.125149
4.9817,33,137.125149
4.9368,34,138.151999
2.996602,34,138.151999
4.9764996,36,139.66522
4.9316998,33,140.08678
5.9662,71,140.303055
-0.013801916,38,140.304055
-0.06839977,34,140.304055
0.98169816,33,142.263882
4.9767,33,145.529579
3.9317014,33,145.529579
5.9918,32,146.378903
0.9516994,33,147.910577
4.9968,32,147.910577
4.9768,32,148.567165
4.9067,33,148.779772
5.9969,34,149.005194
1.9764982,35,149.005194
4.9768,32,150.606211
4.9968,32,153.954822
-1.5482011,33,154.176692
4.9467998,32,156.313025
5.9968,33,156.529309
2.9115012,35,156.825112
3.9566019,34,157.706513
4.9918,32,157.707513
-1.1083993,34,157.929143
4.9665,35,158.381851
2.9718015,32,159.280911
4.9617996,34,162.986795
0.986498,35,163.409444
3.9967015,34,165.51134
3.896701,33,165.51134
0.9515996,38,166.149399
4.9518,33,166.149399
3.9867015,33,166.395676
4.9017997,34,166.395676
3.9918013,36,167.493927
