#{"t_start": 1715870946.3939195, "env_id": "None"}
r,l,t
6.4965,39,4.785599
6.3367,40,4.882473
6.4962,44,5.265327
3.9953032,45,5.369121
6.3417997,55,6.350974
6.4215,57,6.548549
3.9954035,61,6.966026
-7.017108,74,8.983448
-12.582776,76,9.187881
-19.288015,78,9.396167
6.4966,44,10.498832
2.9955034,54,12.124058
-1.0063056,63,12.631365
1.9950958,49,12.949438
1.9949951,80,14.287923
2.9853034,56,16.264026
2.995204,72,16.368553
-10.506006,80,16.573354
0.99409735,59,16.780992
-0.00530529,71,17.612204
6.4966,43,18.038006
6.3819,62,18.258976
6.4972005,37,18.798295
-0.50660706,75,21.761865
-16.508009,80,21.761865
1.4820981,52,22.679884
6.4973,51,22.785358
6.4966,42,23.104531
-1.5333023,64,24.308614
-25.522385,74,25.459955
3.4950044,65,26.382399
6.4966,72,26.494319
6.4965,42,26.79432
5.907,35,27.107727
6.4269,38,27.998231
2.4951012,70,28.100851
6.4973,51,28.427478
6.4569,36,28.755453
-0.030803544,58,30.605359
6.4972005,34,32.470362
6.4967003,40,32.982433
6.4971004,33,32.982433
2.4972017,53,33.815901
2.9955037,65,34.661245
3.4957035,64,34.661245
2.3269024,58,34.661245
-10.007863,79,35.199405
6.4971004,37,37.613533
-20.518005,80,38.355505
-24.527977,80,41.105412
0.49439493,56,41.105412
6.4971004,53,41.618467
6.4967003,72,41.938665
3.4966025,57,42.047635
-13.507208,80,42.258654
5.4964995,61,42.476155
6.4966,42,42.699376
3.4954038,63,43.253092
6.4972,36,45.787261
3.9956036,59,46.108649
6.4069,51,48.749717
5.9971,48,48.749717
3.4954035,46,48.749717
-1.5065039,65,49.844493
0.4951949,74,50.247356
6.4966,40,50.454049
6.4963,43,51.068413
6.497,68,51.173298
-16.517208,80,52.442886
-12.026806,80,53.797473
6.4966,42,55.16374
-2.011606,66,57.592343
6.4219,53,57.819358
6.4968004,38,57.820358
-2.5071077,75,58.578453
6.4973,35,58.691727
-11.006508,80,59.12782
6.4909005,63,59.91
-0.5135026,41,61.374793
-17.508009,80,61.715365
-2.5070076,75,61.839418
5.9961,44,63.148963
6.4964004,44,63.378176
6.4972,36,63.805106
3.481303,57,66.280906
1.4951954,62,66.938623
6.4971004,47,67.26176
5.9965,75,67.48019
6.3269,36,67.804616
6.4972,56,68.596471
6.4971004,37,68.596471
-2.506607,72,69.968264
-1.0161066,69,70.87127
6.4967003,41,71.534945
-2.5729027,38,72.194425
-8.05761,76,73.203531
6.417,35,74.56277
6.4969,40,75.966307
-5.508009,80,77.14211
-3.5075083,77,77.360353
-2.5069075,76,78.27743
6.4668,54,78.815147
-21.008009,80,79.447345
-13.507108,80,79.447345
6.4964004,42,79.771577
6.3969,45,81.535512
6.4319,39,82.847356
-18.008009,80,83.068054
6.4967003,37,83.069055
-10.052381,74,83.410658
2.4971018,36,83.538252
6.4972,34,83.977125
5.4972,51,84.415065
6.4972,38,84.415065
6.4968004,39,84.869267
6.4972,33,87.321745
6.387,36,89.199519
6.4973,48,89.199519
6.4966,39,89.988548
1.4946947,62,91.873441
-14.507608,80,92.749087
5.9961,80,93.472409
6.4972,33,93.580579
-2.506607,74,93.693207
-16.508009,80,93.902371
6.4118,37,94.008537
-9.505295,80,95.45861
6.4119,37,95.45861
-4.007208,72,96.673567
6.4967003,39,97.68032
6.4907002,49,97.898134
6.4569,38,98.437403
6.4964004,42,99.467954
6.3869,38,99.467954
6.4968004,38,99.579743
6.4965,43,99.804103
0.48419395,58,102.597937
0.49489498,64,103.961098
1.4969988,39,104.477714
6.4967003,39,104.477714
3.495204,48,105.112721
1.9954958,67,105.436527
5.9952,53,106.083567
-1.5120076,70,106.950093
-2.506607,73,107.055099
6.4967003,65,108.299231
6.4969,41,108.405823
6.4966,41,109.033283
6.4968004,37,109.145148
6.4967003,37,112.315899
0.49429384,57,112.803249
-0.51010597,51,113.570373
6.4964004,44,113.571374
6.4968004,76,113.774212
-6.0041,80,114.78136
6.4960003,75,115.81189
6.4971004,55,116.007331
4.4218,35,116.426195
-0.005906105,69,116.631136
6.4319,38,117.263415
-2.6622114,74,117.8745
3.4270015,36,118.075884
1.4960971,45,118.785567
6.4972,35,119.622777
0.49709845,50,119.945544
6.4972,35,120.669597
6.4964004,43,121.067643
6.4269,38,121.759561
6.4972,36,122.147736
6.4972,35,122.254079
6.497,53,122.660522
6.4972,33,123.62972
2.9899044,72,124.430677
6.4967003,39,124.53178
4.4962997,48,124.927099
6.4965,42,125.573757
6.4168,36,126.092035
6.4965,41,127.625929
6.4966,41,127.734285
6.4967003,38,127.847772
