#{"t_start": 1715674755.2860873, "env_id": "None"}
r,l,t
4.4754,44,15.42924
3.4053025,45,15.699083
6.4697003,52,17.542869
5.4922,70,24.009852
3.4867017,74,25.106813
4.4761004,80,26.649844
-8.01831,81,26.925742
4.4964,87,28.523155
4.4870996,95,30.661592
1.4764996,51,30.936664
1.4860983,106,35.513359
5.4817996,61,37.483074
4.4909997,45,38.082915
6.4966,42,40.131628
6.4815,42,46.513037
5.3771,59,48.746048
6.4967003,40,48.746048
6.4973,104,49.304065
6.4974003,69,49.87796
1.4911981,69,55.774278
3.4561012,46,56.93576
5.4419,41,62.132911
-6.008108,81,65.868544
-18.508009,120,65.868544
6.4969,88,68.311367
1.377101,60,69.140234
5.4365997,57,69.415057
5.4715996,44,69.698425
4.4614997,63,70.573536
5.4862,45,71.145252
5.9961,43,79.811492
6.4973,100,80.098112
-4.0630035,42,82.086519
6.4966,41,82.65628
3.491502,42,83.220534
6.4974003,64,87.494021
