#{"t_start": 1715350241.6736548, "env_id": "None"}
r,l,t
-9.002997,28,1.442324
-6.003,28,1.442324
-16.503,28,1.442324
-17.503002,28,1.442324
-16.003002,28,1.442324
-6.003,28,1.442324
-19.503002,28,1.442324
-6.003,28,1.442324
-20.503002,28,1.442324
-19.003002,28,1.442324
-10.503002,30,3.075693
-20.503002,30,3.075693
-6.003,30,3.075693
-11.503002,30,3.075693
-6.003,30,3.075693
-20.003002,30,3.075693
-6.003,30,3.075693
-9.502997,30,3.075693
-6.003,30,3.075693
-19.503002,30,3.075693
-6.003,30,4.715062
-6.003,30,4.715062
-19.003002,30,4.715062
-6.003,30,4.715062
-6.003,30,4.715062
-6.003,30,4.715062
-11.003002,30,4.715062
-10.003002,30,4.715062
-6.003,30,4.715062
-6.003,30,4.715062
-13.003002,30,6.350968
-20.503002,30,6.350968
-17.503002,30,6.350968
-19.003002,30,6.350968
-6.003,30,6.350968
-6.003,30,6.350968
-6.003,30,6.350968
-6.003,30,6.350968
-9.002999,30,6.350968
-7.0030003,30,6.350968
