#{"t_start": 1715009755.802187, "env_id": "None"}
r,l,t
-1.0003,1,0.346077
-1.5003,1,0.346077
-1.5003,1,0.346077
-1.0003,1,0.346077
-1.0003,1,0.346077
-1.5003,1,0.346077
-0.0003,1,0.346077
-0.5003,1,0.346077
-1.0003,1,0.346077
-1.0003,1,0.346077
-17.502802,28,1.625071
-9.002798,28,1.625071
-16.502802,28,1.625071
-6.5028005,28,1.625071
-8.002798,28,1.625071
-12.002802,28,1.625071
-6.0028,28,1.625071
-6.0028,28,1.625071
-17.002802,28,1.625071
-7.5028005,28,1.625071
-6.003,30,3.199426
-12.003002,30,3.199426
-10.503002,30,3.199426
-8.002997,30,3.199426
-6.003,30,3.199426
-18.003002,30,3.199426
-6.003,30,3.199426
-20.003002,30,3.199426
-20.003002,30,3.199426
-20.503002,30,3.199426
-7.0030003,30,4.761778
-6.003,30,4.761778
-6.003,30,4.761778
-6.003,30,4.761778
-6.003,30,4.761778
-19.003002,30,4.761778
-15.003002,30,4.761778
-12.003002,30,4.761778
-9.502997,30,4.761778
-7.0030003,30,4.761778
