#{"t_start": 1715268805.081455, "env_id": "None"}
r,l,t
5.9974,24,1.103859
5.9971,27,1.209081
5.9964,34,1.632465
5.996,38,1.774983
5.996,38,1.774983
5.9958,40,1.847041
5.9957,41,1.885234
5.9983,17,1.993011
5.9954,44,1.993011
5.4951997,46,2.06627
5.9987,13,2.340754
5.9986,14,2.340754
5.9978,22,2.555822
5.9972,28,2.631083
3.996603,34,3.152607
5.998,20,3.225734
4.4966993,33,3.404592
5.998,20,3.443825
5.9981,19,3.483421
5.9959,41,3.618323
0.9964968,35,3.761179
-7.005005,50,3.934047
0.99259627,74,4.262077
5.9979,21,4.333645
5.9978,22,4.406907
5.4963994,36,4.617359
5.9986,14,4.756434
5.9968,32,4.797956
5.996,40,4.836945
3.4970026,30,4.868212
2.4971025,29,4.971594
5.9986,14,5.111004
5.9969,31,5.222009
5.9969,31,5.618147
-32.513233,131,5.618147
5.9979,21,5.763932
