#{"t_start": 1715326854.3023922, "env_id": "None"}
r,l,t
5.9984,14,0.684868
0.9978,20,0.919289
5.9978,20,0.919289
5.9974,24,1.077807
2.4971025,27,1.204448
-1.0034007,32,1.399496
0.49659696,32,1.399496
-4.0040035,38,1.842315
5.4983,17,1.962836
5.9985,15,2.003886
-9.504704,45,2.125656
0.99659693,34,2.24679
0.99750054,25,2.601229
5.9983,17,2.645267
-1.5039004,39,2.687227
-14.506585,64,2.897125
-5.5046043,46,3.183593
1.4964968,35,3.475438
-0.50340307,34,3.610487
4.4975996,24,3.864281
-5.003503,35,3.91491
-3.0040042,40,4.005066
-4.5031023,31,4.136866
-4.5031033,31,4.218175
-0.50290287,29,4.426347
2.9968028,32,4.491751
5.998,20,5.572073
5.9982,18,5.572073
1.9972979,27,5.615928
-18.50788,79,5.723668
-3.5036018,36,5.76649
5.9986,14,6.381255
5.9986,14,6.423295
-2.0028017,28,6.423295
-3.5040042,40,6.512209
4.9985,15,6.593007
-14.005092,51,7.424569
0.99609625,39,7.470467
5.9982,18,7.675385
2.998301,17,7.675385
1.9967028,33,7.723289
5.4967,33,8.110832
5.9985,15,8.381907
3.997502,25,8.424345
5.9986,14,8.587654
5.4984,16,8.669519
5.9984,16,8.715593
-12.008676,87,8.83828
5.9983,17,9.087249
-0.0041040014,41,9.229262
5.9986,14,9.230267
2.4969027,31,9.316556
5.9985,15,9.524378
5.9985,15,10.007774
5.9984,16,10.279126
5.9983,17,10.399756
1.4965969,34,10.399756
1.4971977,28,10.483101
4.4975996,24,10.4841
3.4969027,31,10.730066
-3.0065029,65,10.785307
-1.5038036,38,10.786307
5.9985,15,11.175422
5.9987,13,11.35042
5.9984,16,11.402185
5.9985,15,11.447537
1.9969975,30,11.491663
5.9983,17,11.822907
-2.0032032,32,11.949734
5.9987,13,12.035828
3.497502,25,12.133927
3.9976013,24,12.225713
0.4963967,36,12.274695
-2.502302,23,12.366184
2.4968028,32,12.499461
5.4985,15,12.861189
4.4970994,29,12.916751
5.9986,14,13.005052
2.9969027,31,13.051191
1.9975983,24,13.136497
5.9984,16,13.222087
5.9987,13,13.310839
5.4986,14,13.533727
5.4985,15,13.533727
4.4975996,24,13.654218
5.9984,16,14.003524
3.997702,23,14.05332
0.995896,41,14.249233
5.9983,17,14.633879
3.9972024,28,14.72652
0.99659693,34,14.859247
5.9986,14,15.026454
3.4974022,26,15.026454
5.9986,14,15.071158
-1.0039009,39,15.285398
-4.505804,58,15.365863
-4.0032024,32,15.409406
5.4986,14,15.455615
-4.5026026,26,15.509408
5.9983,17,15.89716
4.4974995,25,15.89716
5.9986,14,15.989453
4.4978,22,16.286753
4.4976997,23,16.340814
5.9984,16,16.394868
5.9986,14,16.394868
5.9985,15,16.394868
0.99659693,34,16.516443
5.9986,14,16.829406
3.9977999,22,16.87722
5.9984,16,16.923774
5.9985,15,16.972507
5.9987,13,16.972507
5.9987,13,17.069511
5.4986,14,17.069511
5.9986,14,17.116768
5.9984,16,17.203559
5.9983,17,17.298148
5.9986,14,17.485436
5.9986,14,17.624666
5.9986,14,17.624666
5.4981,19,17.761483
5.9987,13,18.017837
5.9981,19,18.158269
5.4986,14,18.329138
3.497602,24,18.371804
5.9987,13,18.417851
4.4971995,28,18.417851
1.9970022,30,18.661692
1.997202,28,18.748359
3.497702,23,18.836953
5.9986,14,19.004239
5.9984,16,19.004239
3.997502,25,19.04923
3.497502,25,19.094864
2.4974022,26,19.260684
5.9986,14,19.260684
5.4986,14,19.690839
0.49749818,25,19.756437
-2.0026023,26,19.756437
5.9986,14,19.894353
5.9986,14,19.990576
3.497502,25,20.145709
5.9985,15,20.239363
