#{"t_start": 1715350225.7678697, "env_id": "None"}
r,l,t
5.999,8,1.476135
5.9989,9,1.517144
5.9987,11,1.590057
5.9985,13,1.668074
5.9995,5,1.711084
5.9991,9,1.82011
5.998,18,1.863119
5.9993,7,2.124178
5.9989,11,2.276212
3.4969013,29,2.322222
5.9994,6,2.407242
5.9995,5,2.684304
5.9993,7,2.811332
5.9994,6,2.857343
5.9994,6,2.950364
5.9993,7,3.169413
5.9987,13,3.38146
5.9989,11,3.429471
5.9992,8,3.741542
5.9981,19,3.940587
4.9949994,50,3.940587
5.9994,6,3.977595
5.9993,7,4.386687
5.9991,9,4.472706
5.9989,11,4.587733
5.9991,9,4.738766
5.9992,8,4.779775
5.9995,5,4.93681
5.9995,5,4.978821
-12.008769,86,5.019829
5.9988,12,5.06584
5.9993,7,5.24188
5.999,10,5.392913
5.999,10,5.439924
5.9991,9,5.439924
5.9994,6,5.674978
