#{"t_start": 1715089224.5143716, "env_id": "None"}
r,l,t
-0.0003,1,0.332448
-1.0003,1,0.332448
-0.0003,1,0.332448
-0.0003,1,0.332448
-1.0003,1,0.332448
-1.0003,1,0.332448
-1.5003,1,0.332448
-1.0003,1,0.332448
-0.5003,1,0.332448
-0.0003,1,0.332448
5.9967,33,1.640622
3.9962034,38,1.820831
4.9959993,40,1.892462
1.4956957,43,1.992409
5.9954,46,2.097101
3.9944017,56,2.437034
2.4941056,59,2.542236
5.9978,22,2.652364
2.9959037,41,3.438047
5.9946,54,4.342303
5.9947,53,4.649692
-2.005205,52,4.822788
-2.5082033,82,4.860104
-26.01305,131,5.584034
-51.01344,135,5.727692
-28.014042,141,5.931628
5.9963,37,6.102973
-7.5069036,69,6.173394
4.9965997,34,6.209374
5.996,40,6.386278
-9.010409,104,6.902082
5.9982,18,7.042298
-30.012547,126,7.113379
5.9978,22,7.351281
5.4969997,30,7.420745
-3.5086095,86,7.693652
5.9979,21,7.764462
0.99519503,48,8.148843
0.9969975,30,8.325523
5.9977,23,8.395497
0.9967972,32,8.634506
5.9978,22,8.634506
-0.0048030447,48,8.737784
-3.0084064,84,8.878155
-4.007906,79,9.050801
5.9972,28,9.122437
5.9979,21,9.122437
4.4961996,38,9.445227
-16.509375,94,9.555449
5.9979,21,9.555449
3.9964032,36,9.758443
3.9974022,26,9.829105
5.9979,21,10.034265
4.4972997,27,10.174713
5.9984,16,10.386472
2.4969027,31,10.386472
-8.504806,48,10.66669
5.4968996,31,10.709299
5.9971,29,10.751621
5.997,30,10.793556
5.9984,16,10.938736
-4.5053034,53,11.110394
5.4974,26,11.14956
5.9982,18,11.222702
5.9963,37,11.259832
5.9981,19,11.433242
5.9977,23,11.504586
5.9977,23,11.610675
5.9987,13,11.68399
5.9979,21,11.68399
5.9981,19,11.789005
2.4968028,32,12.044033
