#{"t_start": 1715269119.4516127, "env_id": "None"}
r,l,t
7.4964,43,7.170929
2.4562008,43,7.170929
6.4955,43,7.170929
5.4955997,43,7.170929
7.4962997,43,7.170929
-2.003801,43,7.170929
3.4955013,43,7.170929
7.9955997,43,7.170929
7.4963,44,7.83406
7.996,44,7.83406
0.9903985,44,7.83406
7.9955997,44,7.83406
6.9964,44,7.83406
2.461101,44,7.835059
4.9803996,44,7.835059
7.9955997,44,7.835059
7.4962,44,7.835059
0.995999,44,7.835059
5.9733996,44,7.835059
5.4955997,44,7.835059
7.9964,44,7.835059
-1.0088009,44,7.835059
2.9944015,44,7.835059
7.4955,44,7.835059
6.9963,44,7.835059
7.9041,44,7.835059
3.4604013,44,7.835059
7.4955997,44,7.835059
5.4961996,44,7.835059
5.9962,44,7.835059
7.9193997,44,7.835059
6.9956,44,7.835059
7.9961996,44,7.835059
-3.0139015,44,7.835059
2.9844015,44,7.835059
7.4955997,44,7.835059
