#{"t_start": 1715068039.5601146, "env_id": "None"}
r,l,t
0.4997,1,0.195044
0.4997,1,0.196044
0.4997,1,0.196044
0.4997,1,0.196044
0.4997,1,0.196044
0.4997,1,0.196044
0.4997,1,0.196044
0.4997,1,0.196044
0.4997,1,0.196044
0.4997,1,0.196044
8.482801,172,7.802026
0.48118415,188,8.408162
10.479906,201,9.085005
6.9797025,203,9.165023
5.479599,204,9.206242
5.9792066,208,9.358822
8.478902,211,9.474848
-7.0256624,257,11.615467
10.9831,169,15.246206
12.482996,170,16.642883
12.480894,191,16.874935
8.982104,179,17.036972
11.982199,178,17.336039
11.4818945,181,17.56109
9.480807,192,17.601627
11.4816,184,19.638837
-56.051994,523,23.362263
11.980196,198,23.986403
11.4815,185,24.874005
9.481904,181,24.956023
11.4833,167,24.956023
12.482394,176,25.035041
12.481496,185,25.258091
12.484296,157,26.546381
12.484296,157,30.177198
12.484996,150,31.570018
12.483896,161,31.836077
-5.0338116,338,32.255172
7.482799,172,32.33719
10.9836,164,32.33719
5.4817,183,32.93796
7.983602,164,33.671125
12.484495,155,37.109453
-101.08368,842,37.389516
10.484105,159,38.726879
12.483896,161,39.066398
12.484095,159,40.08473
7.9822025,178,40.389798
11.480792,192,40.834899
8.980603,194,40.994935
12.483497,165,41.036944
12.483396,166,44.738297
10.481403,186,45.257414
12.483496,165,46.036589
12.483796,162,46.26264
11.482304,177,47.842996
12.482196,178,48.369115
12.483296,167,48.56916
10.982595,174,48.695188
12.482394,176,48.993255
12.483596,164,52.149966
12.482994,170,53.657559
12.483095,169,53.86661
12.483995,160,55.205908
-7.5228415,229,55.840051
12.483395,166,56.211148
12.481795,182,56.637244
11.480899,191,57.788503
12.479198,208,58.188593
12.483596,164,59.582907
12.484395,156,60.756171
12.482095,179,62.002272
12.481994,180,63.310566
12.482597,174,63.873693
12.482796,172,64.440821
11.983099,169,65.250003
11.9825,175,67.442426
11.483,170,68.247082
12.482894,171,69.544374
12.483096,169,71.484428
10.483303,167,71.75849
12.480896,191,71.8015
12.483894,161,72.342431
12.483896,161,74.54428
12.4811945,188,77.91104
7.4770017,230,78.587191
12.481395,186,79.582415
11.981994,180,79.625424
12.4818945,181,80.411602
9.480403,196,80.453612
11.4837,163,81.759906
-5.5607195,607,82.841014
12.483396,166,85.251557
12.482696,173,86.23978
12.483895,161,86.825911
11.983296,167,87.192994
12.483896,161,87.61809
11.482594,174,88.15221
11.483204,168,89.18695
-174.65475,1500,90.739998
12.484296,157,92.144822
12.483695,163,93.335088
12.484496,155,93.60815
12.483996,160,94.160773
12.483696,163,94.687893
12.483795,162,95.194014
12.483796,162,96.252264
12.484396,156,97.645577
12.484395,156,99.106483
12.484897,151,100.136969
12.484695,153,100.501051
12.484596,154,100.959155
11.484296,157,101.805851
4.456086,439,102.192938
12.484396,156,102.275957
12.484595,154,103.257177
12.484997,150,104.452736
12.484996,150,106.738251
12.484897,151,107.298377
12.481893,181,107.298377
12.484796,152,107.752479
12.484896,151,108.532655
12.484397,156,109.113787
11.984499,155,109.155795
12.485395,146,109.792939
12.484696,153,111.227262
-62.1193,1198,111.424306
12.484996,150,113.488277
12.485395,146,113.719329
12.484797,152,114.156428
12.484296,157,114.838581
12.484897,151,115.240672
12.484495,155,116.149876
12.484495,155,116.194887
12.484996,150,116.478951
12.484996,150,118.027299
12.484996,150,118.188335
12.485196,148,120.335819
12.4840975,159,120.996968
12.484296,157,121.156004
12.484896,151,121.757139
12.484496,155,122.291764
12.484796,152,123.11626
12.484396,156,123.240845
