#{"t_start": 1715009771.4383197, "env_id": "None"}
r,l,t
0.4997,1,0.331074
0.4997,1,0.331074
0.4997,1,0.331074
0.4997,1,0.331074
0.4997,1,0.331074
0.4997,1,0.331074
0.4997,1,0.331074
0.4997,1,0.331074
0.4997,1,0.331074
0.4997,1,0.331074
12.482296,177,8.286886
7.9816055,184,8.559948
7.481203,188,8.729986
12.480794,192,9.102071
12.480796,192,9.102071
6.977902,221,10.306341
3.4768927,231,10.889473
-30.029724,298,14.041182
-27.03125,314,14.69933
12.484197,158,16.353703
11.483094,169,16.684777
12.482495,175,17.241903
2.4809096,191,17.287913
12.481794,182,18.854267
-2.5210216,210,20.608662
12.484097,159,21.411842
-12.528132,282,21.930959
11.4832,168,22.593899
10.483806,162,24.014977
9.983309,167,24.35907
12.484396,156,24.527108
12.483595,164,24.823175
12.482295,177,27.216572
-71.05799,583,27.352242
9.9831085,169,28.622529
11.482901,171,30.654986
12.483494,165,31.830251
12.483595,164,32.120316
11.982897,171,32.561415
12.482796,172,32.89549
12.483696,163,34.888128
9.482407,176,35.555277
11.983798,162,36.312448
11.4831,169,38.562959
12.483996,160,39.407207
12.483296,167,39.99734
12.483695,163,40.303069
12.483696,163,40.840526
12.483695,163,42.652618
12.484196,158,43.10672
12.484096,159,43.837885
12.483995,160,46.028287
12.484297,157,46.684434
11.983998,160,47.364588
12.484096,159,47.613644
12.483796,162,48.236784
12.484396,156,49.89316
12.485296,147,49.983181
12.484096,159,51.305478
12.483895,161,53.631003
12.484797,152,53.759031
12.484197,158,54.862279
12.484596,154,54.942297
-52.57189,722,55.26737
12.484796,152,55.31038
12.485096,149,56.803715
12.484896,151,56.803715
12.484896,151,58.177026
12.485096,149,60.569783
12.485096,149,60.699811
12.485096,149,61.842069
12.484495,155,62.010107
