#{"t_start": 1715068165.6275973, "env_id": "None"}
r,l,t
-0.0003,1,0.27106
-0.0003,1,0.27106
-0.0003,1,0.27106
-0.0003,1,0.27106
-0.0003,1,0.27106
-0.0003,1,0.27106
-0.0003,1,0.27106
-0.0003,1,0.27106
-0.0003,1,0.27106
-0.0003,1,0.27106
14.483991,160,9.965478
11.983798,162,10.075504
14.98369,163,10.132517
13.983494,165,10.248543
13.4833,167,10.357567
14.482995,170,10.524606
9.982705,173,10.692643
11.482601,174,10.751655
12.982597,174,10.751655
3.482187,178,10.979707
11.483599,164,20.136304
17.48349,165,20.356353
12.983995,160,20.465378
12.983495,165,20.465378
12.983093,169,20.803455
12.482995,170,21.195542
8.982604,174,21.486506
14.482488,175,21.547519
13.98289,171,21.547519
0.47629037,237,24.735249
13.9831915,168,30.441628
14.483397,166,30.667768
15.482789,172,31.012171
11.983296,167,31.073184
11.982895,171,31.866363
14.9830885,169,32.040402
