#{"t_start": 1715349265.5598264, "env_id": "None"}
r,l,t
8.982206,176,11.881331
11.482103,177,11.945344
12.9819975,178,12.014361
11.481892,179,12.076374
9.481903,179,12.076374
12.481692,181,12.200402
9.481609,182,12.267417
9.981303,185,12.457459
13.481192,186,12.538478
11.981093,187,12.601492
13.981895,181,24.293653
8.482105,179,24.482201
12.981692,183,24.552217
12.9819,181,24.683246
11.481499,185,24.760263
11.981093,189,24.889292
9.481901,181,25.025323
6.4804993,195,25.404408
9.481205,188,25.404408
13.982395,176,36.427432
10.482209,178,37.166599
11.981399,186,37.524679
10.981798,182,37.524679
13.482094,179,37.596695
10.4812,188,37.735727
3.4812038,188,37.876758
12.481502,185,38.389874
11.980992,190,38.722949
8.481699,183,49.679765
12.481996,180,50.207884
11.481703,183,50.524955
10.981902,181,50.59297
11.481598,184,50.945049
11.981001,190,51.015065
8.9810095,190,51.281126
10.482101,179,51.34714
