#{"t_start": 1715674315.828789, "env_id": "None"}
r,l,t
2.4794817,203,10.257999
2.9787989,210,10.545314
9.478507,213,10.670014
-7.0216246,214,10.716813
1.4776913,221,11.011504
3.4770012,228,11.561239
4.9766,232,11.733943
-13.523757,237,11.948899
-43.5249,248,12.418827
-20.524963,248,12.418827
5.478008,220,21.654758
12.978194,218,22.064908
10.9777,223,22.322873
9.478502,215,22.732079
-41.524952,250,23.617603
6.4783998,216,23.790721
8.477105,229,23.878576
-28.024881,250,24.11354
-22.02494,250,24.453607
6.4766994,233,24.824985
8.479402,206,32.677155
9.979909,201,33.067565
9.978906,211,34.163077
8.979506,205,34.451692
3.4762058,238,34.615684
11.4794,206,34.736875
11.4786,214,35.262827
9.979705,203,35.397657
12.977695,223,35.949765
12.477597,224,36.676551
11.979697,203,42.832613
12.478695,213,43.887633
11.479601,204,44.358608
13.479593,204,44.882757
13.479694,203,45.01342
10.979006,210,45.438999
11.4791,209,45.783054
11.978793,212,45.783054
12.98009,199,45.918741
13.4789915,210,47.166674
11.4802,198,53.707901
12.479598,204,54.790067
13.980691,193,55.53688
11.979693,203,55.53688
9.979908,201,56.555054
12.980393,196,56.690349
13.980091,199,57.300604
10.9792,208,57.579587
13.480694,193,58.051878
-46.02493,250,58.571308
13.980191,198,64.532581
12.480299,197,65.986924
13.98029,197,66.45082
13.98019,198,66.50324
13.480694,193,67.117472
13.480391,196,67.960406
13.479294,207,68.19146
11.980302,197,68.299874
12.980898,191,68.496431
10.9806,194,69.398905
13.980092,199,75.599078
12.480696,193,76.692955
13.98099,190,77.04438
12.980798,192,77.09093
11.980398,196,77.88579
13.480494,195,78.631717
12.481195,188,78.631717
13.980591,194,78.82739
13.980891,191,78.972178
13.980991,190,79.59579
13.480994,190,85.700737
12.480996,190,86.706474
