#{"t_start": 1715068200.5146403, "env_id": "None"}
r,l,t
-0.0003,1,0.323073
-1.5003,1,0.323073
-0.5003,1,0.323073
-0.0003,1,0.323073
-1.0003,1,0.323073
-0.0003,1,0.323073
-1.0003,1,0.323073
-0.0003,1,0.323073
-0.5003,1,0.323073
-1.0003,1,0.323073
-0.0003,1,0.323073
-0.0003,1,0.323073
-0.0003,1,0.323073
-0.0003,1,0.323073
-0.0003,1,0.323073
5.9983,17,1.632368
5.9983,17,1.632368
5.9983,17,1.632368
-6.0028,28,2.475558
-8.502798,28,2.475558
-6.0028,28,2.476558
-6.0028,28,2.476558
-16.502802,28,2.476558
5.9986,14,2.699608
5.9986,14,2.700608
5.9983,17,3.217725
5.9985,15,4.152935
5.9983,17,4.539942
-11.005385,54,4.770994
-19.003002,30,5.06406
-11.003002,30,5.06406
-6.003,30,5.06406
-17.503,30,5.06406
-10.003002,30,5.06406
5.9987,13,6.049282
4.9976997,23,6.210318
5.9978,22,6.535392
-5.504404,44,6.690426
-21.507666,77,6.852463
5.9981,19,7.697655
-7.0030003,30,7.697655
-9.002998,30,7.697655
-6.003,30,7.697655
-15.003001,30,7.697655
-6.003,30,7.697655
5.9983,17,8.147757
5.998,20,8.218773
5.9981,19,9.387035
5.9986,14,9.538071
-6.003,30,10.244734
-6.003,30,10.244734
-6.003,30,10.244734
-8.502997,30,10.244734
-6.003,30,10.244734
5.4968996,31,10.776853
5.9984,16,10.776853
-9.505305,53,10.85287
-14.506179,62,11.386991
5.999,10,11.824089
5.9984,16,12.288194
5.9983,17,12.442228
5.9982,18,12.758299
-8.002997,30,12.836318
-8.002997,30,12.836318
-20.503002,30,12.836318
-6.003,30,12.836318
-6.003,30,12.836318
5.4981,19,13.316425
5.9987,13,13.46946
5.998,20,14.145612
12.983796,162,14.217628
16.483791,162,14.217628
12.983794,162,14.217628
15.483792,162,14.217628
12.983592,164,14.368662
5.9979,21,14.67173
5.9986,14,14.822764
5.4978995,21,15.210852
-8.502997,30,15.438904
-6.003,30,15.438904
-6.5030003,30,15.438904
-6.003,30,15.438904
-6.003,30,15.438904
5.9982,18,16.068045
5.9988,12,16.148063
-30.009155,92,17.381494
5.9985,15,17.543531
5.9984,16,17.703566
-6.003,30,18.124559
-8.002997,30,18.124559
-6.003,30,18.124559
-12.503,30,18.124559
-15.503001,30,18.124559
5.999,10,18.365707
5.9985,15,18.608294
-11.005584,56,18.860351
5.4978995,21,19.705542
-11.505485,55,19.783559
5.9985,15,20.09963
5.9981,19,20.183649
-10.003,30,20.805789
-9.502997,30,20.805789
-6.003,30,20.805789
-7.5030003,30,20.806789
-6.003,30,20.806789
5.9989,11,20.973827
5.9981,19,21.722996
5.4979997,20,22.860251
-7.004504,45,23.020288
-4.5041037,41,23.25234
5.9984,16,23.25234
-10.003001,30,23.477393
-6.003,30,23.477393
-10.003001,30,23.477393
-7.5030003,30,23.477393
-8.002997,30,23.477393
5.9988,12,23.791464
5.9983,17,24.336587
5.9983,17,24.577641
-10.005885,59,24.728676
5.4978,22,24.957727
5.9984,16,25.309807
5.9982,18,25.979314
5.9986,14,26.05333
-13.003,30,26.05333
-6.003,30,26.05333
-11.003002,30,26.05333
-6.003,30,26.05333
-8.502997,30,26.05333
5.9981,19,26.752488
5.9988,12,26.910523
3.997502,25,27.154579
5.9983,17,27.410143
11.9840975,159,28.187318
5.9984,16,28.513392
9.983902,161,28.513392
-20.503002,30,28.743446
-6.003,30,28.743446
-7.0030003,30,28.743446
-13.003,30,28.743446
-16.503002,30,28.743446
5.9986,14,28.819463
12.483102,169,28.970496
9.482806,172,29.201548
4.4976997,23,29.273565
11.982592,174,29.348582
-13.0059805,60,29.821688
5.9981,19,29.979724
5.9984,16,30.547356
5.4974995,25,31.040468
5.9986,14,31.190501
-10.503002,30,31.346536
-7.5030003,30,31.347536
-6.003,30,31.347536
-6.003,30,31.347536
-11.003002,30,31.347536
5.9982,18,31.643107
-11.505584,56,31.722125
5.9984,16,32.031195
4.4975996,24,32.89539
5.9982,18,33.721575
-6.003,30,33.958629
-10.003,30,33.958629
-6.5030003,30,33.958629
-6.003,30,33.958629
-9.502998,30,33.958629
4.4966993,33,34.49475
1.9967972,32,34.49475
5.9982,18,34.572767
-7.0048046,48,35.196907
5.4981,19,35.196907
5.9987,13,35.510483
5.9986,14,35.671518
5.9981,19,35.981588
5.9987,13,36.499705
-10.003002,30,36.577723
-7.5030003,30,36.577723
-6.003,30,36.577723
-7.5030003,30,36.577723
-19.503002,30,36.577723
5.9984,16,37.204864
5.9985,15,37.426914
5.9985,15,37.657965
4.4971995,28,37.657965
1.4971977,28,37.970036
5.9982,18,38.847233
-8.502999,30,39.221319
-6.003,30,39.221319
-6.003,30,39.221319
-8.003,30,39.221319
-6.003,30,39.221319
4.4975996,24,39.389356
5.998,20,39.562394
5.9979,21,39.642412
5.9989,11,40.278557
1.4969975,30,40.672644
5.9985,15,40.818677
5.9984,16,40.818677
-6.003,30,41.591851
-7.5030003,30,41.591851
-6.003,30,41.591851
-6.003,30,41.591851
-12.003,30,41.591851
4.9978,22,42.268004
4.9975996,24,42.807133
-6.004404,44,42.88215
14.482991,170,42.88215
3.997602,24,42.959167
12.983498,165,43.267237
11.483498,165,43.491287
5.9983,17,43.571305
14.482389,176,43.649323
12.483195,168,43.888376
5.9984,16,44.044412
-6.003,30,44.209449
-6.003,30,44.209449
-7.5030003,30,44.209449
-7.5030003,30,44.209449
-7.5030003,30,44.209449
5.9985,15,45.041636
-7.0049047,49,45.203673
1.4970976,29,45.433726
5.9985,15,45.511743
5.9983,17,46.383518
-5.504204,42,46.541554
5.9981,19,46.70159
-6.5030003,30,46.863626
-6.003,30,46.863626
-8.002997,30,46.863626
-6.003,30,46.863626
-10.003002,30,46.863626
5.9981,19,47.021662
5.4979997,20,48.331957
5.9983,17,48.418977
5.4978,22,48.672034
-2.003803,38,48.829069
4.9978,22,49.156144
5.9989,11,49.236161
-6.003,30,49.663257
-6.003,30,49.663257
-7.0030003,30,49.663257
-7.0030003,30,49.663257
-12.003002,30,49.663257
5.9986,14,50.750866
5.9981,19,50.750866
3.497502,25,50.835886
5.4978,22,50.835886
4.9978,22,51.353002
5.9986,14,51.915129
5.9984,16,52.080166
5.9985,15,52.080166
5.9984,16,52.164185
-19.003002,30,52.49926
-6.003,30,52.49926
-6.003,30,52.49926
-16.003002,30,52.49926
-8.502999,30,52.49926
5.999,10,52.925356
5.4979997,20,53.007375
5.9984,16,53.811568
5.9978,22,54.060624
5.9984,16,54.555736
2.4972024,28,54.711275
-6.003,30,55.249397
-6.003,30,55.250396
-6.003,30,55.250396
-6.003,30,55.250396
-6.003,30,55.250396
5.998,20,55.39643
4.9978995,21,55.7075
5.9984,16,55.785517
5.9981,19,56.453667
5.9985,15,56.827752
5.9985,15,57.138822
5.9988,12,57.760962
4.4976997,23,57.838979
-6.003,30,57.838979
-6.003,30,57.838979
-6.003,30,57.839979
-11.003,30,57.839979
-6.003,30,57.839979
15.983688,163,57.914997
13.483991,160,57.914997
12.483194,168,57.914997
5.4979997,20,57.996015
-11.505683,57,58.074032
5.9985,15,58.313086
14.483494,165,58.695677
5.9982,18,59.582877
12.982496,175,59.582877
5.9983,17,59.662894
5.9982,18,60.052982
3.997502,25,60.053982
-10.003002,30,60.518087
-6.003,30,60.518087
-9.002997,30,60.518087
-6.003,30,60.518087
-6.003,30,60.518087
2.4972024,28,60.596105
5.9982,18,61.072212
5.9987,13,61.072212
5.9982,18,61.491306
5.9984,16,62.178461
5.9986,14,62.494532
5.9983,17,62.724584
-20.503002,30,63.183687
-8.002997,30,63.183687
-7.0030003,30,63.183687
-6.003,30,63.183687
-9.002997,30,63.183687
4.4976997,23,63.570796
4.9978,22,63.895869
-11.505485,55,64.228943
4.4976997,23,64.562018
5.9986,14,65.031124
1.4970976,29,65.109141
5.9982,18,65.651263
-6.003,30,65.880315
-6.003,30,65.880315
-6.003,30,65.880315
-6.003,30,65.880315
-11.003002,30,65.880315
5.9983,17,66.193386
5.9985,15,66.194386
5.9977,23,66.351421
5.9979,21,66.739012
5.9983,17,66.982572
5.9982,18,67.897777
5.4979997,20,68.21985
3.997702,23,68.301373
5.9982,18,68.46741
-6.5030003,30,68.549934
-6.003,30,68.549934
-6.003,30,68.549934
-6.003,30,68.549934
-7.0030003,30,68.549934
5.9983,17,69.268985
2.9973023,27,69.433022
5.9983,17,69.664887
5.9981,19,69.74186
5.9982,18,69.894895
5.9983,17,70.864113
5.9986,14,71.012146
-6.003,30,71.167181
-6.003,30,71.167181
-6.5030003,30,71.167181
-6.003,30,71.167181
-6.003,30,71.167181
5.4978995,21,71.315215
5.9984,16,71.395233
15.48419,158,71.845334
16.98419,158,71.845334
1.4969975,30,72.319441
5.9981,19,72.319441
14.483493,165,72.399459
5.9981,19,72.480477
14.484194,158,72.644514
5.9983,17,72.722531
5.9981,19,72.80255
5.999,10,73.385681
-15.503001,30,73.78077
-20.503002,30,73.78077
-20.503002,30,73.78077
-9.002997,30,73.78077
-20.503002,30,73.78077
5.9985,15,73.941806
5.9982,18,74.018823
5.9986,14,74.170858
11.483294,167,74.170858
5.9984,16,74.244874
5.9981,19,74.858012
5.4978995,21,75.576174
5.4978995,21,76.127298
3.997602,24,76.210317
5.9987,13,76.210317
3.997602,24,76.453372
-17.003,30,76.453372
-6.003,30,76.453372
-7.5030003,30,76.453372
-11.003002,30,76.453372
-6.003,30,76.453372
5.9985,15,77.313566
5.9982,18,77.313566
5.9983,17,77.545748
5.9981,19,77.703783
4.9976997,23,78.291916
5.9989,11,78.451952
5.9985,15,78.536972
-6.003,30,79.184127
-10.003002,30,79.184127
-16.003002,30,79.185127
-6.003,30,79.185127
-6.5030003,30,79.185127
5.9987,13,79.669236
3.497502,25,79.669236
2.9974022,26,80.137341
5.9987,13,80.710471
1.9972979,27,81.040545
0.9970976,29,81.121563
5.9983,17,81.54966
4.9975996,24,81.919743
-6.003,30,81.920743
-8.502999,30,81.920743
-8.502999,30,81.920743
-9.502997,30,81.920743
-7.0030003,30,81.920743
5.9985,15,82.580892
5.9987,13,82.891962
2.4974022,26,83.10901
5.9985,15,83.10901
2.997502,25,83.429082
5.9989,11,83.99421
5.9983,17,84.233264
4.4978995,21,84.233264
-7.0030003,30,84.316283
-6.003,30,84.316283
-7.0030003,30,84.316283
-6.003,30,84.316283
-6.003,30,84.316283
5.9983,17,84.778387
5.9981,19,85.255494
5.9981,19,85.804617
5.9983,17,85.879634
12.483895,161,86.175701
5.4978,22,86.248717
13.983692,163,86.321734
4.9978995,21,86.396751
5.9982,18,86.634804
14.983792,162,86.79484
-10.003002,30,86.958877
-6.003,30,86.958877
-6.003,30,86.958877
-6.003,30,86.958877
-6.003,30,86.958877
14.483791,162,87.040896
5.9981,19,87.644032
5.9982,18,88.113137
1.9971977,28,88.268172
5.9982,18,88.352191
2.9973023,27,88.65626
12.983696,163,88.65626
5.9985,15,88.806294
5.9984,16,89.529456
-6.003,30,89.612475
-6.003,30,89.612475
-20.503002,30,89.612475
-7.003,30,89.612475
-8.502997,30,89.612475
5.9989,11,89.696494
5.4979997,20,89.696494
5.9982,18,89.778512
4.4976997,23,90.848753
5.9987,13,91.088807
5.9986,14,91.247843
5.9985,15,91.247843
5.9982,18,91.326861
5.9987,13,92.253069
-6.003,30,92.332087
-12.503002,30,92.332087
-10.502999,30,92.332087
-6.003,30,92.332087
-6.003,30,92.332087
5.998,20,92.406104
5.9985,15,92.480121
4.4976997,23,92.876209
5.4976997,23,93.316308
5.9985,15,93.714399
5.9989,11,94.039979
5.9983,17,94.113996
3.997602,24,94.578606
5.9989,11,94.89143
4.9978995,21,94.971147
-10.003002,30,94.971147
-6.003,30,94.971147
-6.003,30,94.971147
-6.5030003,30,94.971147
-6.5030003,30,94.971147
5.9983,17,95.051165
5.9984,16,95.354234
5.9983,17,96.189421
5.9986,14,96.266439
5.9981,19,96.821563
4.4978,22,96.982105
5.9985,15,97.365195
2.997502,25,97.599247
-6.5030003,30,97.599247
-11.003002,30,97.599247
-6.003,30,97.599247
-6.003,30,97.599247
-6.003,30,97.599247
4.4976997,23,98.064352
5.9985,15,98.148371
3.497602,24,98.974557
5.9982,18,99.053158
5.9982,18,99.292205
5.998,20,99.913345
4.4976997,23,100.218413
-13.503001,30,100.218413
-6.003,30,100.218413
-6.003,30,100.218413
-6.003,30,100.218413
-6.003,30,100.218413
15.98419,158,100.218413
12.483995,160,100.218413
5.9982,18,100.375451
5.998,20,100.618504
14.484193,158,100.932575
3.9978018,22,101.013514
14.483693,163,101.091532
5.9986,14,101.770685
5.9984,16,101.770685
4.9978,22,101.934722
4.9978,22,102.658885
-11.503001,30,102.901941
-11.003002,30,102.901941
-6.003,30,102.901941
-10.003002,30,102.901941
-10.003002,30,102.901941
14.483493,165,103.140994
5.998,20,103.539083
5.4978,22,103.539083
1.4970976,29,103.617101
3.497502,25,103.772142
5.9982,18,104.086212
5.4979997,20,105.380796
